county,precinct,office,district,party,candidate,votes,pct
Tooele,TC07,Proposition #6 - Tooele City Question 1,,,NO,115,34.64
Tooele,TC07,Constitutional Amendment A,,,AGAINST,241,74.61
Tooele,TC07,Constitutional Amendment A,,,FOR,82,25.39
Tooele,TC08,Registered Voters,,,,653,
Tooele,TC08,Ballots Cast,,,,356,
Tooele,TC08,U.S. Senate,,REP,MIKE LEE,200,56.5
Tooele,TC08,U.S. Senate,,,EVAN MCMULLIN,140,39.55
Tooele,TC08,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,8,2.26
Tooele,TC08,U.S. Senate,,IAP,TOMMY WILLIAMS,6,1.69
Tooele,TC08,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,0,0
Tooele,TC08,U.S. Senate,,,Write-In: Fictitious Entry,0,0
Tooele,TC08,U.S. Senate,,,Write-In Totals,0,0
Tooele,TC08,U.S. Senate,,,Not Assigned,0,0
Tooele,TC08,U.S. House,2,REP,CHRIS STEWART,218,62.46
Tooele,TC08,U.S. House,2,DEM,NICK MITCHELL,103,29.51
Tooele,TC08,U.S. House,2,UUP,JAYMAC MCFARLAND,21,6.02
Tooele,TC08,U.S. House,2,CON,CASSIE EASLEY,7,2.01
Tooele,TC08,State Treasurer,,REP,MARLO M. OAKS,245,75.85
Tooele,TC08,State Treasurer,,UUP,THOMAS ALAN HORNE,32,9.91
Tooele,TC08,State Treasurer,,LIB,JOSEPH GEDDES BUCHMAN,27,8.36
Tooele,TC08,State Treasurer,,IAP,WARREN T ROGERS,19,5.88
Tooele,TC08,State Senate,11,REP,DANIEL W. THATCHER,263,100
Tooele,TC08,State House,28,REP,TIM JIMENEZ,262,100
Tooele,TC08,County Council 2,,REP,KENDALL THOMAS,278,100
Tooele,TC08,County Attorney,,REP,SCOTT A. BROADHEAD,264,100
Tooele,TC08,County Auditor,,REP,ALISON H. MCCOY,269,100
Tooele,TC08,County Clerk,,REP,TRACY SHAW,266,100
Tooele,TC08,County Sheriff,,REP,PAUL J. WIMMER,206,59.37
Tooele,TC08,County Sheriff,,,M. DEAN ADAMS,141,40.63
Tooele,TC08,PAIGE PETERSEN Judicial Retention,,,YES,250,80.65
Tooele,TC08,PAIGE PETERSEN Judicial Retention,,,NO,60,19.35
Tooele,TC08,ADAM T. MOW Judicial Retention,,,YES,238,77.02
Tooele,TC08,ADAM T. MOW Judicial Retention,,,NO,71,22.98
Tooele,TC08,AMBER M. METTLER Judicial Retention,,,YES,249,79.3
Tooele,TC08,AMBER M. METTLER Judicial Retention,,,NO,65,20.7
Tooele,TC08,BARRY G. LAWRENCE Judicial Retention,,,YES,234,75.73
Tooele,TC08,BARRY G. LAWRENCE Judicial Retention,,,NO,75,24.27
Tooele,TC08,CHELSEA KOCH Judicial Retention,,,YES,227,73.23
Tooele,TC08,CHELSEA KOCH Judicial Retention,,,NO,83,26.77
Tooele,TC08,DIANNA M. GIBSON Judicial Retention,,,YES,228,73.08
Tooele,TC08,DIANNA M. GIBSON Judicial Retention,,,NO,84,26.92
Tooele,TC08,JAMES T. BLANCH Judicial Retention,,,YES,243,78.39
Tooele,TC08,JAMES T. BLANCH Judicial Retention,,,NO,67,21.61
Tooele,TC08,LINDA JONES Judicial Retention,,,YES,223,71.47
Tooele,TC08,LINDA JONES Judicial Retention,,,NO,89,28.53
Tooele,TC08,MARK S. KOURIS Judicial Retention,,,YES,210,68.18
Tooele,TC08,MARK S. KOURIS Judicial Retention,,,NO,98,31.82
Tooele,TC08,PATRICK W. CORUM Judicial Retention,,,YES,219,71.34
Tooele,TC08,PATRICK W. CORUM Judicial Retention,,,NO,88,28.66
Tooele,TC08,PAUL BOYD PARKER Judicial Retention,,,YES,235,76.3
Tooele,TC08,PAUL BOYD PARKER Judicial Retention,,,NO,73,23.7
Tooele,TC08,RANDALL N. SKANCHY Judicial Retention,,,YES,219,70.87
Tooele,TC08,RANDALL N. SKANCHY Judicial Retention,,,NO,90,29.13
Tooele,TC08,RICHARD E. MRAZIK Judicial Retention,,,YES,237,77.45
Tooele,TC08,RICHARD E. MRAZIK Judicial Retention,,,NO,69,22.55
Tooele,TC08,ROBERT P. FAUST Judicial Retention,,,YES,188,60.84
Tooele,TC08,ROBERT P. FAUST Judicial Retention,,,NO,121,39.16
Tooele,TC08,VERNICE S. TREASE Judicial Retention,,,YES,243,78.9
Tooele,TC08,VERNICE S. TREASE Judicial Retention,,,NO,65,21.1
Tooele,TC08,Proposition #6 - Tooele City Question 1,,,YES,239,68.09
Tooele,TC08,Proposition #6 - Tooele City Question 1,,,NO,112,31.91
Tooele,TC08,Constitutional Amendment A,,,AGAINST,244,72.84
Tooele,TC08,Constitutional Amendment A,,,FOR,91,27.16
Tooele,TC09,Registered Voters,,,,737,
Tooele,TC09,Ballots Cast,,,,432,
Tooele,TC09,U.S. Senate,,REP,MIKE LEE,229,53.5
Tooele,TC09,U.S. Senate,,,EVAN MCMULLIN,166,38.78
Tooele,TC09,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,21,4.91
Tooele,TC09,U.S. Senate,,IAP,TOMMY WILLIAMS,10,2.34
Tooele,TC09,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,1,0.23
Tooele,TC09,U.S. Senate,,,Write-In: Fictitious Entry,1,0.23
Tooele,TC09,U.S. Senate,,,Write-In Totals,2,0.47
Tooele,TC09,U.S. Senate,,,Not Assigned,0,0
Tooele,TC09,U.S. House,2,REP,CHRIS STEWART,250,58.96
Tooele,TC09,U.S. House,2,DEM,NICK MITCHELL,123,29.01
Tooele,TC09,U.S. House,2,UUP,JAYMAC MCFARLAND,32,7.55
Tooele,TC09,U.S. House,2,CON,CASSIE EASLEY,19,4.48
Tooele,TC09,State Treasurer,,REP,MARLO M. OAKS,280,72.16
Tooele,TC09,State Treasurer,,LIB,JOSEPH GEDDES BUCHMAN,49,12.63
Tooele,TC09,State Treasurer,,UUP,THOMAS ALAN HORNE,31,7.99
Tooele,TC09,State Treasurer,,IAP,WARREN T ROGERS,28,7.22
Tooele,TC09,State Senate,11,REP,DANIEL W. THATCHER,331,100
Tooele,TC09,State House,28,REP,TIM JIMENEZ,330,100
Tooele,TC09,County Attorney,,REP,SCOTT A. BROADHEAD,328,100
Tooele,TC09,County Auditor,,REP,ALISON H. MCCOY,330,100
Tooele,TC09,County Clerk,,REP,TRACY SHAW,337,100
Tooele,TC09,County Sheriff,,REP,PAUL J. WIMMER,270,65.53
Tooele,TC09,County Sheriff,,,M. DEAN ADAMS,142,34.47
Tooele,TC09,PAIGE PETERSEN Judicial Retention,,,YES,300,81.74
Tooele,TC09,PAIGE PETERSEN Judicial Retention,,,NO,67,18.26
Tooele,TC09,ADAM T. MOW Judicial Retention,,,YES,297,80.93
Tooele,TC09,ADAM T. MOW Judicial Retention,,,NO,70,19.07
Tooele,TC09,AMBER M. METTLER Judicial Retention,,,YES,299,81.92
Tooele,TC09,AMBER M. METTLER Judicial Retention,,,NO,66,18.08
Tooele,TC09,BARRY G. LAWRENCE Judicial Retention,,,YES,293,80.94
Tooele,TC09,BARRY G. LAWRENCE Judicial Retention,,,NO,69,19.06
Tooele,TC09,CHELSEA KOCH Judicial Retention,,,YES,279,76.23
Tooele,TC09,CHELSEA KOCH Judicial Retention,,,NO,87,23.77
Tooele,TC09,DIANNA M. GIBSON Judicial Retention,,,YES,264,71.93
Tooele,TC09,DIANNA M. GIBSON Judicial Retention,,,NO,103,28.07
Tooele,TC09,JAMES T. BLANCH Judicial Retention,,,YES,290,80.11
Tooele,TC09,JAMES T. BLANCH Judicial Retention,,,NO,72,19.89
Tooele,TC09,LINDA JONES Judicial Retention,,,YES,242,66.85
Tooele,TC09,LINDA JONES Judicial Retention,,,NO,120,33.15
Tooele,TC09,MARK S. KOURIS Judicial Retention,,,YES,261,71.51
Tooele,TC09,MARK S. KOURIS Judicial Retention,,,NO,104,28.49
Tooele,TC09,PATRICK W. CORUM Judicial Retention,,,YES,271,75.7
Tooele,TC09,PATRICK W. CORUM Judicial Retention,,,NO,87,24.3
Tooele,TC09,PAUL BOYD PARKER Judicial Retention,,,YES,282,79.44
Tooele,TC09,PAUL BOYD PARKER Judicial Retention,,,NO,73,20.56
Tooele,TC09,RANDALL N. SKANCHY Judicial Retention,,,YES,266,73.89
Tooele,TC09,RANDALL N. SKANCHY Judicial Retention,,,NO,94,26.11
Tooele,TC09,RICHARD E. MRAZIK Judicial Retention,,,YES,285,79.39
Tooele,TC09,RICHARD E. MRAZIK Judicial Retention,,,NO,74,20.61
Tooele,TC09,ROBERT P. FAUST Judicial Retention,,,YES,213,59.33
Tooele,TC09,ROBERT P. FAUST Judicial Retention,,,NO,146,40.67
Tooele,TC09,VERNICE S. TREASE Judicial Retention,,,YES,283,79.27
Tooele,TC09,VERNICE S. TREASE Judicial Retention,,,NO,74,20.73
Tooele,TC09,Proposition #6 - Tooele City Question 1,,,YES,290,69.38
Tooele,TC09,Proposition #6 - Tooele City Question 1,,,NO,128,30.62
Tooele,TC09,Constitutional Amendment A,,,AGAINST,294,72.77
Tooele,TC09,Constitutional Amendment A,,,FOR,110,27.23
Tooele,TC10,Registered Voters,,,,724,
Tooele,TC10,Ballots Cast,,,,380,
Tooele,TC10,U.S. Senate,,REP,MIKE LEE,222,59.04
Tooele,TC10,U.S. Senate,,,EVAN MCMULLIN,126,33.51
Tooele,TC10,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,16,4.26
Tooele,TC10,U.S. Senate,,IAP,TOMMY WILLIAMS,11,2.93
Tooele,TC10,U.S. Senate,,,Write-In: Fictitious Entry,1,0.27
Tooele,TC10,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,0,0
Tooele,TC10,U.S. Senate,,,Write-In Totals,1,0.27
Tooele,TC10,U.S. Senate,,,Not Assigned,0,0
Tooele,TC10,U.S. House,2,REP,CHRIS STEWART,238,63.64
Tooele,TC10,U.S. House,2,DEM,NICK MITCHELL,105,28.07
Tooele,TC10,U.S. House,2,CON,CASSIE EASLEY,17,4.55
Tooele,TC10,U.S. House,2,UUP,JAYMAC MCFARLAND,14,3.74
Tooele,TC10,State Treasurer,,REP,MARLO M. OAKS,251,70.11
Tooele,TC10,State Treasurer,,LIB,JOSEPH GEDDES BUCHMAN,57,15.92
Tooele,TC10,State Treasurer,,IAP,WARREN T ROGERS,26,7.26
Tooele,TC10,State Treasurer,,UUP,THOMAS ALAN HORNE,24,6.7
Tooele,TC10,State Senate,11,REP,DANIEL W. THATCHER,286,100
Tooele,TC10,State House,28,REP,TIM JIMENEZ,291,100
Tooele,TC10,County Attorney,,REP,SCOTT A. BROADHEAD,295,100
Tooele,TC10,County Auditor,,REP,ALISON H. MCCOY,290,100
Tooele,TC10,County Clerk,,REP,TRACY SHAW,295,100
Tooele,TC10,County Sheriff,,REP,PAUL J. WIMMER,229,62.06
Tooele,TC10,County Sheriff,,,M. DEAN ADAMS,140,37.94
Tooele,TC10,PAIGE PETERSEN Judicial Retention,,,YES,257,77.18
Tooele,TC10,PAIGE PETERSEN Judicial Retention,,,NO,76,22.82
Tooele,TC10,ADAM T. MOW Judicial Retention,,,YES,233,71.04
Tooele,TC10,ADAM T. MOW Judicial Retention,,,NO,95,28.96
Tooele,TC10,AMBER M. METTLER Judicial Retention,,,YES,250,76.22
Tooele,TC10,AMBER M. METTLER Judicial Retention,,,NO,78,23.78
Tooele,TC10,BARRY G. LAWRENCE Judicial Retention,,,YES,233,71.69
Tooele,TC10,BARRY G. LAWRENCE Judicial Retention,,,NO,92,28.31
Tooele,TC10,CHELSEA KOCH Judicial Retention,,,YES,223,68.62
Tooele,TC10,CHELSEA KOCH Judicial Retention,,,NO,102,31.38
Tooele,TC10,DIANNA M. GIBSON Judicial Retention,,,YES,240,72.29
Tooele,TC10,DIANNA M. GIBSON Judicial Retention,,,NO,92,27.71
Tooele,TC10,JAMES T. BLANCH Judicial Retention,,,YES,235,71.65
Tooele,TC10,JAMES T. BLANCH Judicial Retention,,,NO,93,28.35
Tooele,TC10,LINDA JONES Judicial Retention,,,YES,220,67.48
Tooele,TC10,LINDA JONES Judicial Retention,,,NO,106,32.52
Tooele,TC10,MARK S. KOURIS Judicial Retention,,,YES,206,63
Tooele,TC10,MARK S. KOURIS Judicial Retention,,,NO,121,37
Tooele,TC10,PATRICK W. CORUM Judicial Retention,,,YES,226,69.97
Tooele,TC10,PATRICK W. CORUM Judicial Retention,,,NO,97,30.03
Tooele,TC10,PAUL BOYD PARKER Judicial Retention,,,YES,231,72.64
Tooele,TC10,PAUL BOYD PARKER Judicial Retention,,,NO,87,27.36
Tooele,TC10,RANDALL N. SKANCHY Judicial Retention,,,YES,211,65.12
Tooele,TC10,RANDALL N. SKANCHY Judicial Retention,,,NO,113,34.88
Tooele,TC10,RICHARD E. MRAZIK Judicial Retention,,,YES,224,70.66
Tooele,TC10,RICHARD E. MRAZIK Judicial Retention,,,NO,93,29.34
Tooele,TC10,ROBERT P. FAUST Judicial Retention,,,YES,188,58.57
Tooele,TC10,ROBERT P. FAUST Judicial Retention,,,NO,133,41.43
Tooele,TC10,VERNICE S. TREASE Judicial Retention,,,YES,240,75.47
Tooele,TC10,VERNICE S. TREASE Judicial Retention,,,NO,78,24.53
Tooele,TC10,Proposition #6 - Tooele City Question 1,,,YES,249,67.48
Tooele,TC10,Proposition #6 - Tooele City Question 1,,,NO,120,32.52
Tooele,TC10,Constitutional Amendment A,,,AGAINST,256,70.91
Tooele,TC10,Constitutional Amendment A,,,FOR,105,29.09
Tooele,TC11,Registered Voters,,,,789,
Tooele,TC11,Ballots Cast,,,,439,
Tooele,TC11,U.S. Senate,,REP,MIKE LEE,249,57.11
Tooele,TC11,U.S. Senate,,,EVAN MCMULLIN,153,35.09
Tooele,TC11,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,20,4.59
Tooele,TC11,U.S. Senate,,IAP,TOMMY WILLIAMS,13,2.98
Tooele,TC11,U.S. Senate,,,Write-In: Fictitious Entry,1,0.23
Tooele,TC11,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,0,0
Tooele,TC11,U.S. Senate,,,Write-In Totals,1,0.23
Tooele,TC11,U.S. Senate,,,Not Assigned,0,0
Tooele,TC11,U.S. House,2,REP,CHRIS STEWART,308,71.46
Tooele,TC11,U.S. House,2,DEM,NICK MITCHELL,82,19.03
Tooele,TC11,U.S. House,2,UUP,JAYMAC MCFARLAND,21,4.87
Tooele,TC11,U.S. House,2,CON,CASSIE EASLEY,20,4.64
Tooele,TC11,State Treasurer,,REP,MARLO M. OAKS,320,78.24
Tooele,TC11,State Treasurer,,LIB,JOSEPH GEDDES BUCHMAN,35,8.56
Tooele,TC11,State Treasurer,,UUP,THOMAS ALAN HORNE,27,6.6
Tooele,TC11,State Treasurer,,IAP,WARREN T ROGERS,27,6.6
Tooele,TC11,State Senate,11,REP,DANIEL W. THATCHER,365,100
Tooele,TC11,State House,28,REP,TIM JIMENEZ,364,100
Tooele,TC11,County Attorney,,REP,SCOTT A. BROADHEAD,369,100
Tooele,TC11,County Auditor,,REP,ALISON H. MCCOY,367,100
Tooele,TC11,County Clerk,,REP,TRACY SHAW,366,100
Tooele,TC11,County Sheriff,,REP,PAUL J. WIMMER,272,65.23
Tooele,TC11,County Sheriff,,,M. DEAN ADAMS,145,34.77
Tooele,TC11,PAIGE PETERSEN Judicial Retention,,,YES,291,78.44
Tooele,TC11,PAIGE PETERSEN Judicial Retention,,,NO,80,21.56
Tooele,TC11,ADAM T. MOW Judicial Retention,,,YES,282,76.22
Tooele,TC11,ADAM T. MOW Judicial Retention,,,NO,88,23.78
Tooele,TC11,AMBER M. METTLER Judicial Retention,,,YES,279,75.41
Tooele,TC11,AMBER M. METTLER Judicial Retention,,,NO,91,24.59
Tooele,TC11,BARRY G. LAWRENCE Judicial Retention,,,YES,281,74.93
Tooele,TC11,BARRY G. LAWRENCE Judicial Retention,,,NO,94,25.07
Tooele,TC11,CHELSEA KOCH Judicial Retention,,,YES,274,73.26
Tooele,TC11,CHELSEA KOCH Judicial Retention,,,NO,100,26.74
Tooele,TC11,DIANNA M. GIBSON Judicial Retention,,,YES,275,73.14
Tooele,TC11,DIANNA M. GIBSON Judicial Retention,,,NO,101,26.86
Tooele,TC11,JAMES T. BLANCH Judicial Retention,,,YES,285,76.2
Tooele,TC11,JAMES T. BLANCH Judicial Retention,,,NO,89,23.8
Tooele,TC11,LINDA JONES Judicial Retention,,,YES,263,69.95
Tooele,TC11,LINDA JONES Judicial Retention,,,NO,113,30.05
Tooele,TC11,MARK S. KOURIS Judicial Retention,,,YES,266,71.12
Tooele,TC11,MARK S. KOURIS Judicial Retention,,,NO,108,28.88
Tooele,TC11,PATRICK W. CORUM Judicial Retention,,,YES,269,72.31
Tooele,TC11,PATRICK W. CORUM Judicial Retention,,,NO,103,27.69
Tooele,TC11,PAUL BOYD PARKER Judicial Retention,,,YES,272,72.92
Tooele,TC11,PAUL BOYD PARKER Judicial Retention,,,NO,101,27.08
Tooele,TC11,RANDALL N. SKANCHY Judicial Retention,,,YES,251,67.11
Tooele,TC11,RANDALL N. SKANCHY Judicial Retention,,,NO,123,32.89
Tooele,TC11,RICHARD E. MRAZIK Judicial Retention,,,YES,268,72.43
Tooele,TC11,RICHARD E. MRAZIK Judicial Retention,,,NO,102,27.57
Tooele,TC11,ROBERT P. FAUST Judicial Retention,,,YES,234,62.73
Tooele,TC11,ROBERT P. FAUST Judicial Retention,,,NO,139,37.27
Tooele,TC11,VERNICE S. TREASE Judicial Retention,,,YES,274,73.07
Tooele,TC11,VERNICE S. TREASE Judicial Retention,,,NO,101,26.93
Tooele,TC11,Proposition #6 - Tooele City Question 1,,,YES,298,69.3
Tooele,TC11,Proposition #6 - Tooele City Question 1,,,NO,132,30.7
Tooele,TC11,Constitutional Amendment A,,,AGAINST,288,69.23
Tooele,TC11,Constitutional Amendment A,,,FOR,128,30.77
Tooele,TC12,Registered Voters,,,,693,
Tooele,TC12,Ballots Cast,,,,415,
Tooele,TC12,U.S. Senate,,REP,MIKE LEE,241,58.5
Tooele,TC12,U.S. Senate,,,EVAN MCMULLIN,136,33.01
Tooele,TC12,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,25,6.07
Tooele,TC12,U.S. Senate,,IAP,TOMMY WILLIAMS,10,2.43
Tooele,TC12,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,0,0
Tooele,TC12,U.S. Senate,,,Write-In: Fictitious Entry,0,0
Tooele,TC12,U.S. Senate,,,Write-In Totals,0,0
Tooele,TC12,U.S. Senate,,,Not Assigned,0,0
Tooele,TC12,U.S. House,2,REP,CHRIS STEWART,284,69.61
Tooele,TC12,U.S. House,2,DEM,NICK MITCHELL,90,22.06
Tooele,TC12,U.S. House,2,UUP,JAYMAC MCFARLAND,21,5.15
Tooele,TC12,U.S. House,2,CON,CASSIE EASLEY,13,3.19
Tooele,TC12,State Treasurer,,REP,MARLO M. OAKS,291,74.62
Tooele,TC12,State Treasurer,,LIB,JOSEPH GEDDES BUCHMAN,49,12.56
Tooele,TC12,State Treasurer,,IAP,WARREN T ROGERS,31,7.95
Tooele,TC12,State Treasurer,,UUP,THOMAS ALAN HORNE,19,4.87
Tooele,TC12,State Senate,11,REP,DANIEL W. THATCHER,340,100
Tooele,TC12,State House,28,REP,TIM JIMENEZ,345,100
Tooele,TC12,County Attorney,,REP,SCOTT A. BROADHEAD,349,100
Tooele,TC12,County Auditor,,REP,ALISON H. MCCOY,348,100
Tooele,TC12,County Clerk,,REP,TRACY SHAW,347,100
Tooele,TC12,County Sheriff,,REP,PAUL J. WIMMER,268,66.34
Tooele,TC12,County Sheriff,,,M. DEAN ADAMS,136,33.66
Tooele,TC12,PAIGE PETERSEN Judicial Retention,,,YES,284,75.94
Tooele,TC12,PAIGE PETERSEN Judicial Retention,,,NO,90,24.06
Tooele,TC12,ADAM T. MOW Judicial Retention,,,YES,282,75.2
Tooele,TC12,ADAM T. MOW Judicial Retention,,,NO,93,24.8
Tooele,TC12,AMBER M. METTLER Judicial Retention,,,YES,281,74.93
Tooele,TC12,AMBER M. METTLER Judicial Retention,,,NO,94,25.07
Tooele,TC12,BARRY G. LAWRENCE Judicial Retention,,,YES,280,74.87
Tooele,TC12,BARRY G. LAWRENCE Judicial Retention,,,NO,94,25.13
Tooele,TC12,CHELSEA KOCH Judicial Retention,,,YES,259,69.44
Tooele,TC12,CHELSEA KOCH Judicial Retention,,,NO,114,30.56
Tooele,TC12,DIANNA M. GIBSON Judicial Retention,,,YES,270,71.43
Tooele,TC12,DIANNA M. GIBSON Judicial Retention,,,NO,108,28.57
Tooele,TC12,JAMES T. BLANCH Judicial Retention,,,YES,279,74.6
Tooele,TC12,JAMES T. BLANCH Judicial Retention,,,NO,95,25.4
Tooele,TC12,LINDA JONES Judicial Retention,,,YES,250,66.84
Tooele,TC12,LINDA JONES Judicial Retention,,,NO,124,33.16
Tooele,TC12,MARK S. KOURIS Judicial Retention,,,YES,255,67.64
Tooele,TC12,MARK S. KOURIS Judicial Retention,,,NO,122,32.36
Tooele,TC12,PATRICK W. CORUM Judicial Retention,,,YES,258,69.54
Tooele,TC12,PATRICK W. CORUM Judicial Retention,,,NO,113,30.46
Tooele,TC12,PAUL BOYD PARKER Judicial Retention,,,YES,277,74.66
Tooele,TC12,PAUL BOYD PARKER Judicial Retention,,,NO,94,25.34
Tooele,TC12,RANDALL N. SKANCHY Judicial Retention,,,YES,277,74.26
Tooele,TC12,RANDALL N. SKANCHY Judicial Retention,,,NO,96,25.74
Tooele,TC12,RICHARD E. MRAZIK Judicial Retention,,,YES,275,74.12
Tooele,TC12,RICHARD E. MRAZIK Judicial Retention,,,NO,96,25.88
Tooele,TC12,ROBERT P. FAUST Judicial Retention,,,YES,216,58.22
Tooele,TC12,ROBERT P. FAUST Judicial Retention,,,NO,155,41.78
Tooele,TC12,VERNICE S. TREASE Judicial Retention,,,YES,275,73.92
Tooele,TC12,VERNICE S. TREASE Judicial Retention,,,NO,97,26.08
Tooele,TC12,Proposition #6 - Tooele City Question 1,,,YES,276,68.32
Tooele,TC12,Proposition #6 - Tooele City Question 1,,,NO,128,31.68
Tooele,TC12,Constitutional Amendment A,,,AGAINST,265,67.43
Tooele,TC12,Constitutional Amendment A,,,FOR,128,32.57
Tooele,TC13,Registered Voters,,,,714,
Tooele,TC13,Ballots Cast,,,,358,
Tooele,TC13,U.S. Senate,,REP,MIKE LEE,204,57.14
Tooele,TC13,U.S. Senate,,,EVAN MCMULLIN,123,34.45
Tooele,TC13,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,24,6.72
Tooele,TC13,U.S. Senate,,IAP,TOMMY WILLIAMS,4,1.12
Tooele,TC13,U.S. Senate,,,Write-In: Fictitious Entry,2,0.56
Tooele,TC13,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,0,0
Tooele,TC13,U.S. Senate,,,Write-In Totals,2,0.56
Tooele,TC13,U.S. Senate,,,Not Assigned,0,0
Tooele,TC13,U.S. House,2,REP,CHRIS STEWART,221,62.96
Tooele,TC13,U.S. House,2,DEM,NICK MITCHELL,96,27.35
Tooele,TC13,U.S. House,2,CON,CASSIE EASLEY,18,5.13
Tooele,TC13,U.S. House,2,UUP,JAYMAC MCFARLAND,16,4.56
Tooele,TC13,State Treasurer,,REP,MARLO M. OAKS,241,71.51
Tooele,TC13,State Treasurer,,LIB,JOSEPH GEDDES BUCHMAN,41,12.17
Tooele,TC13,State Treasurer,,UUP,THOMAS ALAN HORNE,38,11.28
Tooele,TC13,State Treasurer,,IAP,WARREN T ROGERS,17,5.04
Tooele,TC13,State Senate,11,REP,DANIEL W. THATCHER,297,100
Tooele,TC13,State House,28,REP,TIM JIMENEZ,293,100
Tooele,TC13,County Attorney,,REP,SCOTT A. BROADHEAD,295,100
Tooele,TC13,County Auditor,,REP,ALISON H. MCCOY,293,100
Tooele,TC13,County Clerk,,REP,TRACY SHAW,289,100
Tooele,TC13,County Sheriff,,REP,PAUL J. WIMMER,220,62.15
Tooele,TC13,County Sheriff,,,M. DEAN ADAMS,134,37.85
Tooele,TC13,PAIGE PETERSEN Judicial Retention,,,YES,240,75.95
Tooele,TC13,PAIGE PETERSEN Judicial Retention,,,NO,76,24.05
Tooele,TC13,ADAM T. MOW Judicial Retention,,,YES,233,74.44
Tooele,TC13,ADAM T. MOW Judicial Retention,,,NO,80,25.56
Tooele,TC13,AMBER M. METTLER Judicial Retention,,,YES,230,73.25
Tooele,TC13,AMBER M. METTLER Judicial Retention,,,NO,84,26.75
Tooele,TC13,BARRY G. LAWRENCE Judicial Retention,,,YES,233,74.2
Tooele,TC13,BARRY G. LAWRENCE Judicial Retention,,,NO,81,25.8
Tooele,TC13,CHELSEA KOCH Judicial Retention,,,YES,202,64.74
Tooele,TC13,CHELSEA KOCH Judicial Retention,,,NO,110,35.26
Tooele,TC13,DIANNA M. GIBSON Judicial Retention,,,YES,222,70.7
Tooele,TC13,DIANNA M. GIBSON Judicial Retention,,,NO,92,29.3
Tooele,TC13,JAMES T. BLANCH Judicial Retention,,,YES,235,75.08
Tooele,TC13,JAMES T. BLANCH Judicial Retention,,,NO,78,24.92
Tooele,TC13,LINDA JONES Judicial Retention,,,YES,196,62.82
Tooele,TC13,LINDA JONES Judicial Retention,,,NO,116,37.18
Tooele,TC13,MARK S. KOURIS Judicial Retention,,,YES,198,63.87
Tooele,TC13,MARK S. KOURIS Judicial Retention,,,NO,112,36.13
Tooele,TC13,PATRICK W. CORUM Judicial Retention,,,YES,208,67.53
Tooele,TC13,PATRICK W. CORUM Judicial Retention,,,NO,100,32.47
Tooele,TC13,PAUL BOYD PARKER Judicial Retention,,,YES,227,73.23
Tooele,TC13,PAUL BOYD PARKER Judicial Retention,,,NO,83,26.77
Tooele,TC13,RANDALL N. SKANCHY Judicial Retention,,,YES,210,67.52
Tooele,TC13,RANDALL N. SKANCHY Judicial Retention,,,NO,101,32.48
Tooele,TC13,RICHARD E. MRAZIK Judicial Retention,,,YES,229,73.87
Tooele,TC13,RICHARD E. MRAZIK Judicial Retention,,,NO,81,26.13
Tooele,TC13,ROBERT P. FAUST Judicial Retention,,,YES,175,56.27
Tooele,TC13,ROBERT P. FAUST Judicial Retention,,,NO,136,43.73
Tooele,TC13,VERNICE S. TREASE Judicial Retention,,,YES,228,73.55
Tooele,TC13,VERNICE S. TREASE Judicial Retention,,,NO,82,26.45
Tooele,TC13,Proposition #6 - Tooele City Question 1,,,YES,235,66.95
Tooele,TC13,Proposition #6 - Tooele City Question 1,,,NO,116,33.05
Tooele,TC13,Constitutional Amendment A,,,AGAINST,249,72.38
Tooele,TC13,Constitutional Amendment A,,,FOR,95,27.62
Tooele,TC14,Registered Voters,,,,782,
Tooele,TC14,Ballots Cast,,,,397,
Tooele,TC14,U.S. Senate,,REP,MIKE LEE,195,49.62
Tooele,TC14,U.S. Senate,,,EVAN MCMULLIN,167,42.49
Tooele,TC14,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,22,5.6
Tooele,TC14,U.S. Senate,,IAP,TOMMY WILLIAMS,8,2.04
Tooele,TC14,U.S. Senate,,,Write-In: Fictitious Entry,1,0.25
Tooele,TC14,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,0,0
Tooele,TC14,U.S. Senate,,,Write-In Totals,1,0.25
Tooele,TC14,U.S. Senate,,,Not Assigned,0,0
Tooele,TC14,U.S. House,2,REP,CHRIS STEWART,227,58.06
Tooele,TC14,U.S. House,2,DEM,NICK MITCHELL,109,27.88
Tooele,TC14,U.S. House,2,UUP,JAYMAC MCFARLAND,34,8.7
Tooele,TC14,U.S. House,2,CON,CASSIE EASLEY,21,5.37
Tooele,TC14,State Treasurer,,REP,MARLO M. OAKS,255,69.48
