county,precinct,office,district,party,candidate,mail,early_voting,election_day,provisional,votes,
Davis,Woods Cross 07,Ballots Cast,,,,133,0,17,0,150,
Davis,Bountiful 01,U.S. Senate,,REP,Mitt Romney,,,,,219,
Davis,Bountiful 02,U.S. Senate,,REP,Mitt Romney,,,,,154,
Davis,Bountiful 03,U.S. Senate,,REP,Mitt Romney,,,,,195,
Davis,Bountiful 04,U.S. Senate,,REP,Mitt Romney,,,,,201,
Davis,Bountiful 05,U.S. Senate,,REP,Mitt Romney,,,,,174,
Davis,Bountiful 06,U.S. Senate,,REP,Mitt Romney,,,,,152,
Davis,Bountiful 07,U.S. Senate,,REP,Mitt Romney,,,,,139,
Davis,Bountiful 08,U.S. Senate,,REP,Mitt Romney,,,,,203,
Davis,Bountiful 09,U.S. Senate,,REP,Mitt Romney,,,,,314,
Davis,Bountiful 10,U.S. Senate,,REP,Mitt Romney,,,,,274,
Davis,Bountiful 11,U.S. Senate,,REP,Mitt Romney,,,,,295,
Davis,Bountiful 12,U.S. Senate,,REP,Mitt Romney,,,,,328,
Davis,Bountiful 13,U.S. Senate,,REP,Mitt Romney,,,,,134,
Davis,Bountiful 14,U.S. Senate,,REP,Mitt Romney,,,,,115,
Davis,Bountiful 15,U.S. Senate,,REP,Mitt Romney,,,,,135,
Davis,Bountiful 16,U.S. Senate,,REP,Mitt Romney,,,,,281,
Davis,Bountiful 17,U.S. Senate,,REP,Mitt Romney,,,,,269,
Davis,Bountiful 18,U.S. Senate,,REP,Mitt Romney,,,,,230,
Davis,Bountiful 19,U.S. Senate,,REP,Mitt Romney,,,,,263,
Davis,Bountiful 20,U.S. Senate,,REP,Mitt Romney,,,,,210,
Davis,Bountiful 21,U.S. Senate,,REP,Mitt Romney,,,,,220,
Davis,Bountiful 22,U.S. Senate,,REP,Mitt Romney,,,,,194,
Davis,Bountiful 23,U.S. Senate,,REP,Mitt Romney,,,,,268,
Davis,Bountiful 24,U.S. Senate,,REP,Mitt Romney,,,,,61,
Davis,Bountiful 25,U.S. Senate,,REP,Mitt Romney,,,,,240,
Davis,Bountiful 26,U.S. Senate,,REP,Mitt Romney,,,,,233,
Davis,Bountiful 27,U.S. Senate,,REP,Mitt Romney,,,,,169,
Davis,Bountiful 28,U.S. Senate,,REP,Mitt Romney,,,,,206,
Davis,Bountiful 29,U.S. Senate,,REP,Mitt Romney,,,,,155,
Davis,Bountiful 30,U.S. Senate,,REP,Mitt Romney,,,,,140,
Davis,Bountiful 31,U.S. Senate,,REP,Mitt Romney,,,,,139,
Davis,Bountiful 32,U.S. Senate,,REP,Mitt Romney,,,,,242,
Davis,Bountiful 33,U.S. Senate,,REP,Mitt Romney,,,,,239,
Davis,Centerville 01,U.S. Senate,,REP,Mitt Romney,,,,,243,
Davis,Centerville 02,U.S. Senate,,REP,Mitt Romney,,,,,291,
Davis,Centerville 03,U.S. Senate,,REP,Mitt Romney,,,,,235,
Davis,Centerville 04,U.S. Senate,,REP,Mitt Romney,,,,,226,
Davis,Centerville 05,U.S. Senate,,REP,Mitt Romney,,,,,206,
Davis,Centerville 06,U.S. Senate,,REP,Mitt Romney,,,,,197,
Davis,Centerville 07,U.S. Senate,,REP,Mitt Romney,,,,,304,
Davis,Centerville 08,U.S. Senate,,REP,Mitt Romney,,,,,182,
Davis,Centerville 09,U.S. Senate,,REP,Mitt Romney,,,,,174,
Davis,Centerville 10,U.S. Senate,,REP,Mitt Romney,,,,,246,
Davis,Centerville 11,U.S. Senate,,REP,Mitt Romney,,,,,155,
Davis,Centerville 12,U.S. Senate,,REP,Mitt Romney,,,,,245,
Davis,Clearfield 01,U.S. Senate,,REP,Mitt Romney,,,,,118,
Davis,Clearfield 02,U.S. Senate,,REP,Mitt Romney,,,,,82,
Davis,Clearfield 03,U.S. Senate,,REP,Mitt Romney,,,,,84,
Davis,Clearfield 04,U.S. Senate,,REP,Mitt Romney,,,,,90,
Davis,Clearfield 05,U.S. Senate,,REP,Mitt Romney,,,,,58,
Davis,Clearfield 06,U.S. Senate,,REP,Mitt Romney,,,,,101,
Davis,Clearfield 07,U.S. Senate,,REP,Mitt Romney,,,,,68,
Davis,Clearfield 08,U.S. Senate,,REP,Mitt Romney,,,,,73,
Davis,Clearfield 09,U.S. Senate,,REP,Mitt Romney,,,,,54,
Davis,Clearfield 10,U.S. Senate,,REP,Mitt Romney,,,,,96,
Davis,Clearfield 11,U.S. Senate,,REP,Mitt Romney,,,,,99,
Davis,Clearfield 12,U.S. Senate,,REP,Mitt Romney,,,,,57,
Davis,Clearfield 13,U.S. Senate,,REP,Mitt Romney,,,,,2,
Davis,Clearfield 14,U.S. Senate,,REP,Mitt Romney,,,,,2,
Davis,Clearfield 15,U.S. Senate,,REP,Mitt Romney,,,,,1,
Davis,Clearfield 16,U.S. Senate,,REP,Mitt Romney,,,,,93,
Davis,Clearfield 17,U.S. Senate,,REP,Mitt Romney,,,,,33,
Davis,Clinton 01,U.S. Senate,,REP,Mitt Romney,,,,,145,
Davis,Clinton 02,U.S. Senate,,REP,Mitt Romney,,,,,106,
Davis,Clinton 03,U.S. Senate,,REP,Mitt Romney,,,,,52,
Davis,Clinton 04,U.S. Senate,,REP,Mitt Romney,,,,,104,
Davis,Clinton 05,U.S. Senate,,REP,Mitt Romney,,,,,63,
Davis,Clinton 06,U.S. Senate,,REP,Mitt Romney,,,,,109,
Davis,Clinton 07,U.S. Senate,,REP,Mitt Romney,,,,,138,
Davis,Clinton 08,U.S. Senate,,REP,Mitt Romney,,,,,121,
Davis,Clinton 09,U.S. Senate,,REP,Mitt Romney,,,,,139,
Davis,Clinton 10,U.S. Senate,,REP,Mitt Romney,,,,,24,
Davis,Clinton 11,U.S. Senate,,REP,Mitt Romney,,,,,146,
Davis,Clinton 12,U.S. Senate,,REP,Mitt Romney,,,,,127,
Davis,Clinton 13,U.S. Senate,,REP,Mitt Romney,,,,,91,
Davis,Farmington 01,U.S. Senate,,REP,Mitt Romney,,,,,107,
Davis,Farmington 02,U.S. Senate,,REP,Mitt Romney,,,,,121,
Davis,Farmington 03,U.S. Senate,,REP,Mitt Romney,,,,,105,
Davis,Farmington 04,U.S. Senate,,REP,Mitt Romney,,,,,218,
Davis,Farmington 05,U.S. Senate,,REP,Mitt Romney,,,,,224,
Davis,Farmington 06,U.S. Senate,,REP,Mitt Romney,,,,,275,
Davis,Farmington 07,U.S. Senate,,REP,Mitt Romney,,,,,191,
Davis,Farmington 08,U.S. Senate,,REP,Mitt Romney,,,,,152,
Davis,Farmington 09,U.S. Senate,,REP,Mitt Romney,,,,,293,
Davis,Farmington 10,U.S. Senate,,REP,Mitt Romney,,,,,247,
Davis,Farmington 11,U.S. Senate,,REP,Mitt Romney,,,,,237,
Davis,Farmington 12,U.S. Senate,,REP,Mitt Romney,,,,,134,
Davis,Farmington 13,U.S. Senate,,REP,Mitt Romney,,,,,123,
Davis,Farmington 14,U.S. Senate,,REP,Mitt Romney,,,,,125,
Davis,Farmington 15,U.S. Senate,,REP,Mitt Romney,,,,,131,
Davis,Farmington 16,U.S. Senate,,REP,Mitt Romney,,,,,95,
Davis,Fruit Heights 01,U.S. Senate,,REP,Mitt Romney,,,,,161,
Davis,Fruit Heights 02,U.S. Senate,,REP,Mitt Romney,,,,,244,
Davis,Fruit Heights 03,U.S. Senate,,REP,Mitt Romney,,,,,299,
Davis,Fruit Heights 04,U.S. Senate,,REP,Mitt Romney,,,,,216,
Davis,Fruit Heights 05,U.S. Senate,,REP,Mitt Romney,,,,,131,
Davis,Hill A.F.B. 01,U.S. Senate,,REP,Mitt Romney,,,,,2,
Davis,Hill A.F.B. 02,U.S. Senate,,REP,Mitt Romney,,,,,0,
Davis,Hill A.F.B. 03,U.S. Senate,,REP,Mitt Romney,,,,,0,
Davis,Kaysville 01,U.S. Senate,,REP,Mitt Romney,,,,,223,
Davis,Kaysville 02,U.S. Senate,,REP,Mitt Romney,,,,,309,
Davis,Kaysville 03,U.S. Senate,,REP,Mitt Romney,,,,,229,
Davis,Kaysville 04,U.S. Senate,,REP,Mitt Romney,,,,,159,
Davis,Kaysville 05,U.S. Senate,,REP,Mitt Romney,,,,,185,
Davis,Kaysville 06,U.S. Senate,,REP,Mitt Romney,,,,,208,
Davis,Kaysville 07,U.S. Senate,,REP,Mitt Romney,,,,,220,
Davis,Kaysville 08,U.S. Senate,,REP,Mitt Romney,,,,,190,
Davis,Kaysville 09,U.S. Senate,,REP,Mitt Romney,,,,,188,
Davis,Kaysville 10,U.S. Senate,,REP,Mitt Romney,,,,,219,
Davis,Kaysville 11,U.S. Senate,,REP,Mitt Romney,,,,,295,
Davis,Kaysville 12,U.S. Senate,,REP,Mitt Romney,,,,,194,
Davis,Kaysville 13,U.S. Senate,,REP,Mitt Romney,,,,,166,
Davis,Kaysville 14,U.S. Senate,,REP,Mitt Romney,,,,,221,
Davis,Kaysville 15,U.S. Senate,,REP,Mitt Romney,,,,,181,
Davis,Kaysville 16,U.S. Senate,,REP,Mitt Romney,,,,,202,
Davis,Kaysville 17,U.S. Senate,,REP,Mitt Romney,,,,,223,
Davis,Kaysville 18,U.S. Senate,,REP,Mitt Romney,,,,,177,
Davis,Kaysville 19,U.S. Senate,,REP,Mitt Romney,,,,,173,
Davis,Kaysville 20,U.S. Senate,,REP,Mitt Romney,,,,,173,
Davis,Kaysville 21,U.S. Senate,,REP,Mitt Romney,,,,,157,
Davis,Kaysville 22,U.S. Senate,,REP,Mitt Romney,,,,,175,
Davis,Layton 01,U.S. Senate,,REP,Mitt Romney,,,,,166,
Davis,Layton 02,U.S. Senate,,REP,Mitt Romney,,,,,178,
Davis,Layton 03,U.S. Senate,,REP,Mitt Romney,,,,,75,
Davis,Layton 04,U.S. Senate,,REP,Mitt Romney,,,,,76,
Davis,Layton 05,U.S. Senate,,REP,Mitt Romney,,,,,81,
Davis,Layton 06,U.S. Senate,,REP,Mitt Romney,,,,,204,
Davis,Layton 07,U.S. Senate,,REP,Mitt Romney,,,,,165,
Davis,Layton 08,U.S. Senate,,REP,Mitt Romney,,,,,83,
Davis,Layton 09,U.S. Senate,,REP,Mitt Romney,,,,,115,
Davis,Layton 10,U.S. Senate,,REP,Mitt Romney,,,,,82,
Davis,Layton 11,U.S. Senate,,REP,Mitt Romney,,,,,88,
Davis,Layton 12,U.S. Senate,,REP,Mitt Romney,,,,,162,
Davis,Layton 13,U.S. Senate,,REP,Mitt Romney,,,,,80,
Davis,Layton 14,U.S. Senate,,REP,Mitt Romney,,,,,48,
Davis,Layton 15,U.S. Senate,,REP,Mitt Romney,,,,,100,
Davis,Layton 16,U.S. Senate,,REP,Mitt Romney,,,,,72,
Davis,Layton 17,U.S. Senate,,REP,Mitt Romney,,,,,78,
Davis,Layton 18,U.S. Senate,,REP,Mitt Romney,,,,,136,
Davis,Layton 19,U.S. Senate,,REP,Mitt Romney,,,,,146,
Davis,Layton 20,U.S. Senate,,REP,Mitt Romney,,,,,261,
Davis,Layton 21,U.S. Senate,,REP,Mitt Romney,,,,,154,
Davis,Layton 22,U.S. Senate,,REP,Mitt Romney,,,,,200,
Davis,Layton 23,U.S. Senate,,REP,Mitt Romney,,,,,204,
Davis,Layton 24,U.S. Senate,,REP,Mitt Romney,,,,,242,
Davis,Layton 25,U.S. Senate,,REP,Mitt Romney,,,,,99,
Davis,Layton 26,U.S. Senate,,REP,Mitt Romney,,,,,259,
Davis,Layton 27,U.S. Senate,,REP,Mitt Romney,,,,,112,
Davis,Layton 28,U.S. Senate,,REP,Mitt Romney,,,,,54,
Davis,Layton 29,U.S. Senate,,REP,Mitt Romney,,,,,34,
Davis,Layton 30,U.S. Senate,,REP,Mitt Romney,,,,,91,
Davis,Layton 31,U.S. Senate,,REP,Mitt Romney,,,,,126,
Davis,Layton 32,U.S. Senate,,REP,Mitt Romney,,,,,115,
Davis,Layton 33,U.S. Senate,,REP,Mitt Romney,,,,,120,
Davis,Layton 34,U.S. Senate,,REP,Mitt Romney,,,,,111,
Davis,Layton 35,U.S. Senate,,REP,Mitt Romney,,,,,131,
Davis,Layton 36,U.S. Senate,,REP,Mitt Romney,,,,,209,
Davis,Layton 37,U.S. Senate,,REP,Mitt Romney,,,,,195,
Davis,Layton 38,U.S. Senate,,REP,Mitt Romney,,,,,135,
Davis,Layton 39,U.S. Senate,,REP,Mitt Romney,,,,,146,
Davis,Layton 40,U.S. Senate,,REP,Mitt Romney,,,,,168,
Davis,Layton 41,U.S. Senate,,REP,Mitt Romney,,,,,248,
Davis,Layton 42,U.S. Senate,,REP,Mitt Romney,,,,,114,
Davis,Layton 43,U.S. Senate,,REP,Mitt Romney,,,,,104,
Davis,Layton 44,U.S. Senate,,REP,Mitt Romney,,,,,163,
Davis,Layton 45,U.S. Senate,,REP,Mitt Romney,,,,,107,
Davis,Layton 46,U.S. Senate,,REP,Mitt Romney,,,,,166,
Davis,Layton 47,U.S. Senate,,REP,Mitt Romney,,,,,108,
Davis,No. Salt Lake 01,U.S. Senate,,REP,Mitt Romney,,,,,192,
Davis,No. Salt Lake 02,U.S. Senate,,REP,Mitt Romney,,,,,205,
Davis,No. Salt Lake 03,U.S. Senate,,REP,Mitt Romney,,,,,155,
Davis,No. Salt Lake 04,U.S. Senate,,REP,Mitt Romney,,,,,151,
Davis,No. Salt Lake 05,U.S. Senate,,REP,Mitt Romney,,,,,258,
Davis,No. Salt Lake 06,U.S. Senate,,REP,Mitt Romney,,,,,213,
Davis,No. Salt Lake 07,U.S. Senate,,REP,Mitt Romney,,,,,80,
Davis,No. Salt Lake 08,U.S. Senate,,REP,Mitt Romney,,,,,184,
Davis,No. Salt Lake 09,U.S. Senate,,REP,Mitt Romney,,,,,181,
Davis,No. Salt Lake 10,U.S. Senate,,REP,Mitt Romney,,,,,140,
Davis,No. Salt Lake 11,U.S. Senate,,REP,Mitt Romney,,,,,181,
Davis,Sunset 01,U.S. Senate,,REP,Mitt Romney,,,,,50,
Davis,Sunset 02,U.S. Senate,,REP,Mitt Romney,,,,,94,
Davis,Sunset 03,U.S. Senate,,REP,Mitt Romney,,,,,131,
Davis,South Weber 01,U.S. Senate,,REP,Mitt Romney,,,,,202,
Davis,South Weber 02,U.S. Senate,,REP,Mitt Romney,,,,,218,
Davis,South Weber 03,U.S. Senate,,REP,Mitt Romney,,,,,279,
Davis,South Weber 04,U.S. Senate,,REP,Mitt Romney,,,,,0,
Davis,Syracuse 01,U.S. Senate,,REP,Mitt Romney,,,,,139,
Davis,Syracuse 02,U.S. Senate,,REP,Mitt Romney,,,,,94,
Davis,Syracuse 03,U.S. Senate,,REP,Mitt Romney,,,,,113,
Davis,Syracuse 04,U.S. Senate,,REP,Mitt Romney,,,,,177,
Davis,Syracuse 05,U.S. Senate,,REP,Mitt Romney,,,,,132,
Davis,Syracuse 06,U.S. Senate,,REP,Mitt Romney,,,,,110,
Davis,Syracuse 07,U.S. Senate,,REP,Mitt Romney,,,,,69,
Davis,Syracuse 08,U.S. Senate,,REP,Mitt Romney,,,,,163,
Davis,Syracuse 09,U.S. Senate,,REP,Mitt Romney,,,,,127,
Davis,Syracuse 10,U.S. Senate,,REP,Mitt Romney,,,,,149,
Davis,Syracuse 11,U.S. Senate,,REP,Mitt Romney,,,,,127,
Davis,Syracuse 12,U.S. Senate,,REP,Mitt Romney,,,,,234,
Davis,Syracuse 13,U.S. Senate,,REP,Mitt Romney,,,,,127,
Davis,Syracuse 14,U.S. Senate,,REP,Mitt Romney,,,,,104,
Davis,Syracuse 15,U.S. Senate,,REP,Mitt Romney,,,,,0,
Davis,Syracuse 16,U.S. Senate,,REP,Mitt Romney,,,,,170,
Davis,Syracuse 17,U.S. Senate,,REP,Mitt Romney,,,,,118,
Davis,Syracuse 18,U.S. Senate,,REP,Mitt Romney,,,,,228,
Davis,Syracuse 19,U.S. Senate,,REP,Mitt Romney,,,,,88,
Davis,West Bountiful 01,U.S. Senate,,REP,Mitt Romney,,,,,138,
Davis,West Bountiful 02,U.S. Senate,,REP,Mitt Romney,,,,,223,
Davis,West Bountiful 03,U.S. Senate,,REP,Mitt Romney,,,,,212,
Davis,West Bountiful 04,U.S. Senate,,REP,Mitt Romney,,,,,78,
Davis,West Point 01,U.S. Senate,,REP,Mitt Romney,,,,,190,
Davis,West Point 02,U.S. Senate,,REP,Mitt Romney,,,,,124,
Davis,West Point 03,U.S. Senate,,REP,Mitt Romney,,,,,124,
Davis,West Point 04,U.S. Senate,,REP,Mitt Romney,,,,,151,
Davis,West Point 05,U.S. Senate,,REP,Mitt Romney,,,,,170,
Davis,West Point 06,U.S. Senate,,REP,Mitt Romney,,,,,83,
Davis,West Point 07,U.S. Senate,,REP,Mitt Romney,,,,,52,
Davis,West Point 08,U.S. Senate,,REP,Mitt Romney,,,,,106,
Davis,Woods Cross 01,U.S. Senate,,REP,Mitt Romney,,,,,82,
Davis,Woods Cross 02,U.S. Senate,,REP,Mitt Romney,,,,,230,
Davis,Woods Cross 03,U.S. Senate,,REP,Mitt Romney,,,,,238,
Davis,Woods Cross 04,U.S. Senate,,REP,Mitt Romney,,,,,62,
Davis,Woods Cross 05,U.S. Senate,,REP,Mitt Romney,,,,,129,
Davis,Woods Cross 06,U.S. Senate,,REP,Mitt Romney,,,,,82,
Davis,Woods Cross 07,U.S. Senate,,REP,Mitt Romney,,,,,124,
Davis,Bountiful 01,U.S. Senate,,REP,Mike Kennedy,,,,,72,
Davis,Bountiful 02,U.S. Senate,,REP,Mike Kennedy,,,,,57,
Davis,Bountiful 03,U.S. Senate,,REP,Mike Kennedy,,,,,31,
Davis,Bountiful 04,U.S. Senate,,REP,Mike Kennedy,,,,,56,
Davis,Bountiful 05,U.S. Senate,,REP,Mike Kennedy,,,,,36,
Davis,Bountiful 06,U.S. Senate,,REP,Mike Kennedy,,,,,42,
Davis,Bountiful 07,U.S. Senate,,REP,Mike Kennedy,,,,,46,
Davis,Bountiful 08,U.S. Senate,,REP,Mike Kennedy,,,,,42,
Davis,Bountiful 09,U.S. Senate,,REP,Mike Kennedy,,,,,58,
Davis,Bountiful 10,U.S. Senate,,REP,Mike Kennedy,,,,,63,
Davis,Bountiful 11,U.S. Senate,,REP,Mike Kennedy,,,,,60,
Davis,Bountiful 12,U.S. Senate,,REP,Mike Kennedy,,,,,59,
Davis,Bountiful 13,U.S. Senate,,REP,Mike Kennedy,,,,,24,
Davis,Bountiful 14,U.S. Senate,,REP,Mike Kennedy,,,,,20,
Davis,Bountiful 15,U.S. Senate,,REP,Mike Kennedy,,,,,31,
Davis,Bountiful 16,U.S. Senate,,REP,Mike Kennedy,,,,,42,
Davis,Bountiful 17,U.S. Senate,,REP,Mike Kennedy,,,,,58,
Davis,Bountiful 18,U.S. Senate,,REP,Mike Kennedy,,,,,61,
Davis,Bountiful 19,U.S. Senate,,REP,Mike Kennedy,,,,,62,
Davis,Bountiful 20,U.S. Senate,,REP,Mike Kennedy,,,,,27,
Davis,Bountiful 21,U.S. Senate,,REP,Mike Kennedy,,,,,42,
Davis,Bountiful 22,U.S. Senate,,REP,Mike Kennedy,,,,,80,
Davis,Bountiful 23,U.S. Senate,,REP,Mike Kennedy,,,,,53,
Davis,Bountiful 24,U.S. Senate,,REP,Mike Kennedy,,,,,22,
Davis,Bountiful 25,U.S. Senate,,REP,Mike Kennedy,,,,,79,
Davis,Bountiful 26,U.S. Senate,,REP,Mike Kennedy,,,,,56,
Davis,Bountiful 27,U.S. Senate,,REP,Mike Kennedy,,,,,38,
Davis,Bountiful 28,U.S. Senate,,REP,Mike Kennedy,,,,,67,
Davis,Bountiful 29,U.S. Senate,,REP,Mike Kennedy,,,,,62,
Davis,Bountiful 30,U.S. Senate,,REP,Mike Kennedy,,,,,30,
Davis,Bountiful 31,U.S. Senate,,REP,Mike Kennedy,,,,,40,
Davis,Bountiful 32,U.S. Senate,,REP,Mike Kennedy,,,,,46,
Davis,Bountiful 33,U.S. Senate,,REP,Mike Kennedy,,,,,47,
Davis,Centerville 01,U.S. Senate,,REP,Mike Kennedy,,,,,52,
Davis,Centerville 02,U.S. Senate,,REP,Mike Kennedy,,,,,51,
Davis,Centerville 03,U.S. Senate,,REP,Mike Kennedy,,,,,38,
Davis,Centerville 04,U.S. Senate,,REP,Mike Kennedy,,,,,62,
Davis,Centerville 05,U.S. Senate,,REP,Mike Kennedy,,,,,42,
Davis,Centerville 06,U.S. Senate,,REP,Mike Kennedy,,,,,53,
Davis,Centerville 07,U.S. Senate,,REP,Mike Kennedy,,,,,48,
Davis,Centerville 08,U.S. Senate,,REP,Mike Kennedy,,,,,50,
Davis,Centerville 09,U.S. Senate,,REP,Mike Kennedy,,,,,44,
Davis,Centerville 10,U.S. Senate,,REP,Mike Kennedy,,,,,65,
Davis,Centerville 11,U.S. Senate,,REP,Mike Kennedy,,,,,34,
Davis,Centerville 12,U.S. Senate,,REP,Mike Kennedy,,,,,74,
Davis,Clearfield 01,U.S. Senate,,REP,Mike Kennedy,,,,,61,
Davis,Clearfield 02,U.S. Senate,,REP,Mike Kennedy,,,,,39,
Davis,Clearfield 03,U.S. Senate,,REP,Mike Kennedy,,,,,37,
Davis,Clearfield 04,U.S. Senate,,REP,Mike Kennedy,,,,,59,
Davis,Clearfield 05,U.S. Senate,,REP,Mike Kennedy,,,,,59,
Davis,Clearfield 06,U.S. Senate,,REP,Mike Kennedy,,,,,61,
Davis,Clearfield 07,U.S. Senate,,REP,Mike Kennedy,,,,,27,
Davis,Clearfield 08,U.S. Senate,,REP,Mike Kennedy,,,,,48,
Davis,Clearfield 09,U.S. Senate,,REP,Mike Kennedy,,,,,37,
Davis,Clearfield 10,U.S. Senate,,REP,Mike Kennedy,,,,,56,
Davis,Clearfield 11,U.S. Senate,,REP,Mike Kennedy,,,,,47,
Davis,Clearfield 12,U.S. Senate,,REP,Mike Kennedy,,,,,46,
Davis,Clearfield 13,U.S. Senate,,REP,Mike Kennedy,,,,,1,
Davis,Clearfield 14,U.S. Senate,,REP,Mike Kennedy,,,,,4,
Davis,Clearfield 15,U.S. Senate,,REP,Mike Kennedy,,,,,1,
Davis,Clearfield 16,U.S. Senate,,REP,Mike Kennedy,,,,,32,
Davis,Clearfield 17,U.S. Senate,,REP,Mike Kennedy,,,,,17,
Davis,Clinton 01,U.S. Senate,,REP,Mike Kennedy,,,,,62,
Davis,Clinton 02,U.S. Senate,,REP,Mike Kennedy,,,,,83,
Davis,Clinton 03,U.S. Senate,,REP,Mike Kennedy,,,,,26,
Davis,Clinton 04,U.S. Senate,,REP,Mike Kennedy,,,,,36,
Davis,Clinton 05,U.S. Senate,,REP,Mike Kennedy,,,,,17,
Davis,Clinton 06,U.S. Senate,,REP,Mike Kennedy,,,,,55,
Davis,Clinton 07,U.S. Senate,,REP,Mike Kennedy,,,,,46,
Davis,Clinton 08,U.S. Senate,,REP,Mike Kennedy,,,,,58,
Davis,Clinton 09,U.S. Senate,,REP,Mike Kennedy,,,,,48,
Davis,Clinton 10,U.S. Senate,,REP,Mike Kennedy,,,,,13,
Davis,Clinton 11,U.S. Senate,,REP,Mike Kennedy,,,,,67,
Davis,Clinton 12,U.S. Senate,,REP,Mike Kennedy,,,,,43,
Davis,Clinton 13,U.S. Senate,,REP,Mike Kennedy,,,,,31,
Davis,Farmington 01,U.S. Senate,,REP,Mike Kennedy,,,,,26,
Davis,Farmington 02,U.S. Senate,,REP,Mike Kennedy,,,,,41,
Davis,Farmington 03,U.S. Senate,,REP,Mike Kennedy,,,,,31,
Davis,Farmington 04,U.S. Senate,,REP,Mike Kennedy,,,,,44,
Davis,Farmington 05,U.S. Senate,,REP,Mike Kennedy,,,,,32,
Davis,Farmington 06,U.S. Senate,,REP,Mike Kennedy,,,,,66,
Davis,Farmington 07,U.S. Senate,,REP,Mike Kennedy,,,,,44,
Davis,Farmington 08,U.S. Senate,,REP,Mike Kennedy,,,,,39,
Davis,Farmington 09,U.S. Senate,,REP,Mike Kennedy,,,,,63,
Davis,Farmington 10,U.S. Senate,,REP,Mike Kennedy,,,,,69,
Davis,Farmington 11,U.S. Senate,,REP,Mike Kennedy,,,,,40,
Davis,Farmington 12,U.S. Senate,,REP,Mike Kennedy,,,,,38,
Davis,Farmington 13,U.S. Senate,,REP,Mike Kennedy,,,,,35,
Davis,Farmington 14,U.S. Senate,,REP,Mike Kennedy,,,,,33,
Davis,Farmington 15,U.S. Senate,,REP,Mike Kennedy,,,,,33,
Davis,Farmington 16,U.S. Senate,,REP,Mike Kennedy,,,,,31,
Davis,Fruit Heights 01,U.S. Senate,,REP,Mike Kennedy,,,,,43,
Davis,Fruit Heights 02,U.S. Senate,,REP,Mike Kennedy,,,,,56,
Davis,Fruit Heights 03,U.S. Senate,,REP,Mike Kennedy,,,,,66,
Davis,Fruit Heights 04,U.S. Senate,,REP,Mike Kennedy,,,,,40,
Davis,Fruit Heights 05,U.S. Senate,,REP,Mike Kennedy,,,,,42,
Davis,Hill A.F.B. 01,U.S. Senate,,REP,Mike Kennedy,,,,,1,
Davis,Hill A.F.B. 02,U.S. Senate,,REP,Mike Kennedy,,,,,0,
Davis,Hill A.F.B. 03,U.S. Senate,,REP,Mike Kennedy,,,,,0,
Davis,Kaysville 01,U.S. Senate,,REP,Mike Kennedy,,,,,73,
Davis,Kaysville 02,U.S. Senate,,REP,Mike Kennedy,,,,,64,
Davis,Kaysville 03,U.S. Senate,,REP,Mike Kennedy,,,,,46,
Davis,Kaysville 04,U.S. Senate,,REP,Mike Kennedy,,,,,41,
Davis,Kaysville 05,U.S. Senate,,REP,Mike Kennedy,,,,,50,
Davis,Kaysville 06,U.S. Senate,,REP,Mike Kennedy,,,,,77,
Davis,Kaysville 07,U.S. Senate,,REP,Mike Kennedy,,,,,63,
Davis,Kaysville 08,U.S. Senate,,REP,Mike Kennedy,,,,,61,
Davis,Kaysville 09,U.S. Senate,,REP,Mike Kennedy,,,,,51,
Davis,Kaysville 10,U.S. Senate,,REP,Mike Kennedy,,,,,61,
Davis,Kaysville 11,U.S. Senate,,REP,Mike Kennedy,,,,,78,
Davis,Kaysville 12,U.S. Senate,,REP,Mike Kennedy,,,,,31,
Davis,Kaysville 13,U.S. Senate,,REP,Mike Kennedy,,,,,30,
Davis,Kaysville 14,U.S. Senate,,REP,Mike Kennedy,,,,,38,
Davis,Kaysville 15,U.S. Senate,,REP,Mike Kennedy,,,,,34,
Davis,Kaysville 16,U.S. Senate,,REP,Mike Kennedy,,,,,29,
Davis,Kaysville 17,U.S. Senate,,REP,Mike Kennedy,,,,,46,
Davis,Kaysville 18,U.S. Senate,,REP,Mike Kennedy,,,,,42,
Davis,Kaysville 19,U.S. Senate,,REP,Mike Kennedy,,,,,59,
Davis,Kaysville 20,U.S. Senate,,REP,Mike Kennedy,,,,,25,
Davis,Kaysville 21,U.S. Senate,,REP,Mike Kennedy,,,,,37,
Davis,Kaysville 22,U.S. Senate,,REP,Mike Kennedy,,,,,51,
Davis,Layton 01,U.S. Senate,,REP,Mike Kennedy,,,,,44,
Davis,Layton 02,U.S. Senate,,REP,Mike Kennedy,,,,,91,
Davis,Layton 03,U.S. Senate,,REP,Mike Kennedy,,,,,44,
Davis,Layton 04,U.S. Senate,,REP,Mike Kennedy,,,,,43,
Davis,Layton 05,U.S. Senate,,REP,Mike Kennedy,,,,,47,
Davis,Layton 06,U.S. Senate,,REP,Mike Kennedy,,,,,81,
Davis,Layton 07,U.S. Senate,,REP,Mike Kennedy,,,,,80,
Davis,Layton 08,U.S. Senate,,REP,Mike Kennedy,,,,,34,
Davis,Layton 09,U.S. Senate,,REP,Mike Kennedy,,,,,55,
Davis,Layton 10,U.S. Senate,,REP,Mike Kennedy,,,,,44,
Davis,Layton 11,U.S. Senate,,REP,Mike Kennedy,,,,,45,
Davis,Layton 12,U.S. Senate,,REP,Mike Kennedy,,,,,76,
