county,precinct,office,district,candidate,party,votes,election_day,mail,absentee,provisional
Utah,PR33,Attorney General,,Michael Isbell,Independent American,20,,,,
Utah,PR33,Attorney General,,Jon Harper,Democratic,68,,,,
Utah,PR33,Attorney General,,Sean Reyes,Republican,442,,,,
Utah,PR33,Attorney General,,W. Andrew McCullough,Libertarian,42,,,,
Utah,PR34,Attorney General,,Michael Isbell,Independent American,18,,,,
Utah,PR34,Attorney General,,Jon Harper,Democratic,72,,,,
Utah,PR34,Attorney General,,Sean Reyes,Republican,384,,,,
Utah,PR34,Attorney General,,W. Andrew McCullough,Libertarian,36,,,,
Utah,PR35,Attorney General,,Michael Isbell,Independent American,29,,,,
Utah,PR35,Attorney General,,Jon Harper,Democratic,156,,,,
Utah,PR35,Attorney General,,Sean Reyes,Republican,578,,,,
Utah,PR35,Attorney General,,W. Andrew McCullough,Libertarian,53,,,,
Utah,PR36,Attorney General,,Michael Isbell,Independent American,16,,,,
Utah,PR36,Attorney General,,Jon Harper,Democratic,190,,,,
Utah,PR36,Attorney General,,Sean Reyes,Republican,707,,,,
Utah,PR36,Attorney General,,W. Andrew McCullough,Libertarian,61,,,,
Utah,PR37,Attorney General,,Michael Isbell,Independent American,16,,,,
Utah,PR37,Attorney General,,Jon Harper,Democratic,103,,,,
Utah,PR37,Attorney General,,Sean Reyes,Republican,480,,,,
Utah,PR37,Attorney General,,W. Andrew McCullough,Libertarian,27,,,,
Utah,PR38,Attorney General,,Michael Isbell,Independent American,8,,,,
Utah,PR38,Attorney General,,Jon Harper,Democratic,32,,,,
Utah,PR38,Attorney General,,Sean Reyes,Republican,336,,,,
Utah,PR38,Attorney General,,W. Andrew McCullough,Libertarian,15,,,,
Utah,PR39,Attorney General,,Michael Isbell,Independent American,14,,,,
Utah,PR39,Attorney General,,Jon Harper,Democratic,108,,,,
Utah,PR39,Attorney General,,Sean Reyes,Republican,638,,,,
Utah,PR39,Attorney General,,W. Andrew McCullough,Libertarian,34,,,,
Utah,PR40,Attorney General,,Michael Isbell,Independent American,9,,,,
Utah,PR40,Attorney General,,Jon Harper,Democratic,93,,,,
Utah,PR40,Attorney General,,Sean Reyes,Republican,469,,,,
Utah,PR40,Attorney General,,W. Andrew McCullough,Libertarian,22,,,,
Utah,PR41,Attorney General,,Michael Isbell,Independent American,10,,,,
Utah,PR41,Attorney General,,Jon Harper,Democratic,71,,,,
Utah,PR41,Attorney General,,Sean Reyes,Republican,544,,,,
Utah,PR41,Attorney General,,W. Andrew McCullough,Libertarian,37,,,,
Utah,PR42,Attorney General,,Michael Isbell,Independent American,5,,,,
Utah,PR42,Attorney General,,Jon Harper,Democratic,102,,,,
Utah,PR42,Attorney General,,Sean Reyes,Republican,628,,,,
Utah,PR42,Attorney General,,W. Andrew McCullough,Libertarian,41,,,,
Utah,PR43,Attorney General,,Michael Isbell,Independent American,23,,,,
Utah,PR43,Attorney General,,Jon Harper,Democratic,126,,,,
Utah,PR43,Attorney General,,Sean Reyes,Republican,338,,,,
Utah,PR43,Attorney General,,W. Andrew McCullough,Libertarian,56,,,,
Utah,PR44,Attorney General,,Michael Isbell,Independent American,17,,,,
Utah,PR44,Attorney General,,Jon Harper,Democratic,145,,,,
Utah,PR44,Attorney General,,Sean Reyes,Republican,394,,,,
Utah,PR44,Attorney General,,W. Andrew McCullough,Libertarian,56,,,,
Utah,PR45,Attorney General,,Michael Isbell,Independent American,23,,,,
Utah,PR45,Attorney General,,Jon Harper,Democratic,138,,,,
Utah,PR45,Attorney General,,Sean Reyes,Republican,692,,,,
Utah,PR45,Attorney General,,W. Andrew McCullough,Libertarian,81,,,,
Utah,SA01,Attorney General,,Michael Isbell,Independent American,2,,,,
Utah,SA01,Attorney General,,Jon Harper,Democratic,11,,,,
Utah,SA01,Attorney General,,Sean Reyes,Republican,121,,,,
Utah,SA01,Attorney General,,W. Andrew McCullough,Libertarian,11,,,,
Utah,SA02,Attorney General,,Michael Isbell,Independent American,29,,,,
Utah,SA02,Attorney General,,Jon Harper,Democratic,94,,,,
Utah,SA02,Attorney General,,Sean Reyes,Republican,1220,,,,
Utah,SA02,Attorney General,,W. Andrew McCullough,Libertarian,72,,,,
Utah,SA03,Attorney General,,Michael Isbell,Independent American,34,,,,
Utah,SA03,Attorney General,,Jon Harper,Democratic,111,,,,
Utah,SA03,Attorney General,,Sean Reyes,Republican,907,,,,
Utah,SA03,Attorney General,,W. Andrew McCullough,Libertarian,83,,,,
Utah,SA04,Attorney General,,Michael Isbell,Independent American,12,,,,
Utah,SA04,Attorney General,,Jon Harper,Democratic,43,,,,
Utah,SA04,Attorney General,,Sean Reyes,Republican,386,,,,
Utah,SA04,Attorney General,,W. Andrew McCullough,Libertarian,26,,,,
Utah,SA05,Attorney General,,Michael Isbell,Independent American,1,,,,
Utah,SA05,Attorney General,,Jon Harper,Democratic,13,,,,
Utah,SA05,Attorney General,,Sean Reyes,Republican,127,,,,
Utah,SA05,Attorney General,,W. Andrew McCullough,Libertarian,7,,,,
Utah,SF01,Attorney General,,Michael Isbell,Independent American,20,,,,
Utah,SF01,Attorney General,,Jon Harper,Democratic,86,,,,
Utah,SF01,Attorney General,,Sean Reyes,Republican,434,,,,
Utah,SF01,Attorney General,,W. Andrew McCullough,Libertarian,40,,,,
Utah,SF02,Attorney General,,Michael Isbell,Independent American,20,,,,
Utah,SF02,Attorney General,,Jon Harper,Democratic,98,,,,
Utah,SF02,Attorney General,,Sean Reyes,Republican,587,,,,
Utah,SF02,Attorney General,,W. Andrew McCullough,Libertarian,56,,,,
Utah,SF03,Attorney General,,Michael Isbell,Independent American,26,,,,
Utah,SF03,Attorney General,,Jon Harper,Democratic,91,,,,
Utah,SF03,Attorney General,,Sean Reyes,Republican,437,,,,
Utah,SF03,Attorney General,,W. Andrew McCullough,Libertarian,50,,,,
Utah,SF04,Attorney General,,Michael Isbell,Independent American,19,,,,
Utah,SF04,Attorney General,,Jon Harper,Democratic,87,,,,
Utah,SF04,Attorney General,,Sean Reyes,Republican,421,,,,
Utah,SF04,Attorney General,,W. Andrew McCullough,Libertarian,44,,,,
Utah,SF05,Attorney General,,Michael Isbell,Independent American,31,,,,
Utah,SF05,Attorney General,,Jon Harper,Democratic,151,,,,
Utah,SF05,Attorney General,,Sean Reyes,Republican,599,,,,
Utah,SF05,Attorney General,,W. Andrew McCullough,Libertarian,76,,,,
Utah,SF06,Attorney General,,Michael Isbell,Independent American,9,,,,
Utah,SF06,Attorney General,,Jon Harper,Democratic,49,,,,
Utah,SF06,Attorney General,,Sean Reyes,Republican,433,,,,
Utah,SF06,Attorney General,,W. Andrew McCullough,Libertarian,28,,,,
Utah,SF07,Attorney General,,Michael Isbell,Independent American,4,,,,
Utah,SF07,Attorney General,,Jon Harper,Democratic,30,,,,
Utah,SF07,Attorney General,,Sean Reyes,Republican,201,,,,
Utah,SF07,Attorney General,,W. Andrew McCullough,Libertarian,15,,,,
Utah,SF07S,Attorney General,,Michael Isbell,Independent American,0,,,,
Utah,SF07S,Attorney General,,Jon Harper,Democratic,3,,,,
Utah,SF07S,Attorney General,,Sean Reyes,Republican,4,,,,
Utah,SF07S,Attorney General,,W. Andrew McCullough,Libertarian,0,,,,
Utah,SF08,Attorney General,,Michael Isbell,Independent American,19,,,,
Utah,SF08,Attorney General,,Jon Harper,Democratic,157,,,,
Utah,SF08,Attorney General,,Sean Reyes,Republican,989,,,,
Utah,SF08,Attorney General,,W. Andrew McCullough,Libertarian,78,,,,
Utah,SF09,Attorney General,,Michael Isbell,Independent American,13,,,,
Utah,SF09,Attorney General,,Jon Harper,Democratic,102,,,,
Utah,SF09,Attorney General,,Sean Reyes,Republican,961,,,,
Utah,SF09,Attorney General,,W. Andrew McCullough,Libertarian,65,,,,
Utah,SF10,Attorney General,,Michael Isbell,Independent American,20,,,,
Utah,SF10,Attorney General,,Jon Harper,Democratic,87,,,,
Utah,SF10,Attorney General,,Sean Reyes,Republican,494,,,,
Utah,SF10,Attorney General,,W. Andrew McCullough,Libertarian,50,,,,
Utah,SF11,Attorney General,,Michael Isbell,Independent American,17,,,,
Utah,SF11,Attorney General,,Jon Harper,Democratic,85,,,,
Utah,SF11,Attorney General,,Sean Reyes,Republican,798,,,,
Utah,SF11,Attorney General,,W. Andrew McCullough,Libertarian,49,,,,
Utah,SF12,Attorney General,,Michael Isbell,Independent American,21,,,,
Utah,SF12,Attorney General,,Jon Harper,Democratic,91,,,,
Utah,SF12,Attorney General,,Sean Reyes,Republican,539,,,,
Utah,SF12,Attorney General,,W. Andrew McCullough,Libertarian,36,,,,
Utah,SF13,Attorney General,,Michael Isbell,Independent American,7,,,,
Utah,SF13,Attorney General,,Jon Harper,Democratic,51,,,,
Utah,SF13,Attorney General,,Sean Reyes,Republican,662,,,,
Utah,SF13,Attorney General,,W. Andrew McCullough,Libertarian,24,,,,
Utah,SF14,Attorney General,,Michael Isbell,Independent American,14,,,,
Utah,SF14,Attorney General,,Jon Harper,Democratic,71,,,,
Utah,SF14,Attorney General,,Sean Reyes,Republican,490,,,,
Utah,SF14,Attorney General,,W. Andrew McCullough,Libertarian,33,,,,
Utah,SF15,Attorney General,,Michael Isbell,Independent American,25,,,,
Utah,SF15,Attorney General,,Jon Harper,Democratic,124,,,,
Utah,SF15,Attorney General,,Sean Reyes,Republican,808,,,,
Utah,SF15,Attorney General,,W. Andrew McCullough,Libertarian,59,,,,
Utah,SF16,Attorney General,,Michael Isbell,Independent American,34,,,,
Utah,SF16,Attorney General,,Jon Harper,Democratic,115,,,,
Utah,SF16,Attorney General,,Sean Reyes,Republican,803,,,,
Utah,SF16,Attorney General,,W. Andrew McCullough,Libertarian,77,,,,
Utah,SF17,Attorney General,,Michael Isbell,Independent American,12,,,,
Utah,SF17,Attorney General,,Jon Harper,Democratic,79,,,,
Utah,SF17,Attorney General,,Sean Reyes,Republican,545,,,,
Utah,SF17,Attorney General,,W. Andrew McCullough,Libertarian,31,,,,
Utah,SP01,Attorney General,,Michael Isbell,Independent American,34,,,,
Utah,SP01,Attorney General,,Jon Harper,Democratic,162,,,,
Utah,SP01,Attorney General,,Sean Reyes,Republican,615,,,,
Utah,SP01,Attorney General,,W. Andrew McCullough,Libertarian,76,,,,
Utah,SP02,Attorney General,,Michael Isbell,Independent American,9,,,,
Utah,SP02,Attorney General,,Jon Harper,Democratic,51,,,,
Utah,SP02,Attorney General,,Sean Reyes,Republican,225,,,,
Utah,SP02,Attorney General,,W. Andrew McCullough,Libertarian,21,,,,
Utah,SP03,Attorney General,,Michael Isbell,Independent American,0,,,,
Utah,SP03,Attorney General,,Jon Harper,Democratic,10,,,,
Utah,SP03,Attorney General,,Sean Reyes,Republican,50,,,,
Utah,SP03,Attorney General,,W. Andrew McCullough,Libertarian,3,,,,
Utah,SP04,Attorney General,,Michael Isbell,Independent American,17,,,,
Utah,SP04,Attorney General,,Jon Harper,Democratic,112,,,,
Utah,SP04,Attorney General,,Sean Reyes,Republican,505,,,,
Utah,SP04,Attorney General,,W. Andrew McCullough,Libertarian,37,,,,
Utah,SP05,Attorney General,,Michael Isbell,Independent American,9,,,,
Utah,SP05,Attorney General,,Jon Harper,Democratic,99,,,,
Utah,SP05,Attorney General,,Sean Reyes,Republican,498,,,,
Utah,SP05,Attorney General,,W. Andrew McCullough,Libertarian,46,,,,
Utah,SP06,Attorney General,,Michael Isbell,Independent American,14,,,,
Utah,SP06,Attorney General,,Jon Harper,Democratic,87,,,,
Utah,SP06,Attorney General,,Sean Reyes,Republican,621,,,,
Utah,SP06,Attorney General,,W. Andrew McCullough,Libertarian,45,,,,
Utah,SP07,Attorney General,,Michael Isbell,Independent American,19,,,,
Utah,SP07,Attorney General,,Jon Harper,Democratic,100,,,,
Utah,SP07,Attorney General,,Sean Reyes,Republican,1040,,,,
Utah,SP07,Attorney General,,W. Andrew McCullough,Libertarian,58,,,,
Utah,SP08,Attorney General,,Michael Isbell,Independent American,21,,,,
Utah,SP08,Attorney General,,Jon Harper,Democratic,105,,,,
Utah,SP08,Attorney General,,Sean Reyes,Republican,476,,,,
Utah,SP08,Attorney General,,W. Andrew McCullough,Libertarian,51,,,,
Utah,SP09,Attorney General,,Michael Isbell,Independent American,33,,,,
Utah,SP09,Attorney General,,Jon Harper,Democratic,165,,,,
Utah,SP09,Attorney General,,Sean Reyes,Republican,790,,,,
Utah,SP09,Attorney General,,W. Andrew McCullough,Libertarian,100,,,,
Utah,SP10,Attorney General,,Michael Isbell,Independent American,21,,,,
Utah,SP10,Attorney General,,Jon Harper,Democratic,115,,,,
Utah,SP10,Attorney General,,Sean Reyes,Republican,594,,,,
Utah,SP10,Attorney General,,W. Andrew McCullough,Libertarian,55,,,,
Utah,SP11,Attorney General,,Michael Isbell,Independent American,14,,,,
Utah,SP11,Attorney General,,Jon Harper,Democratic,116,,,,
Utah,SP11,Attorney General,,Sean Reyes,Republican,571,,,,
Utah,SP11,Attorney General,,W. Andrew McCullough,Libertarian,30,,,,
Utah,SP12,Attorney General,,Michael Isbell,Independent American,19,,,,
Utah,SP12,Attorney General,,Jon Harper,Democratic,94,,,,
Utah,SP12,Attorney General,,Sean Reyes,Republican,461,,,,
Utah,SP12,Attorney General,,W. Andrew McCullough,Libertarian,42,,,,
Utah,SP13,Attorney General,,Michael Isbell,Independent American,17,,,,
Utah,SP13,Attorney General,,Jon Harper,Democratic,76,,,,
Utah,SP13,Attorney General,,Sean Reyes,Republican,330,,,,
Utah,SP13,Attorney General,,W. Andrew McCullough,Libertarian,38,,,,
Utah,SP14,Attorney General,,Michael Isbell,Independent American,13,,,,
Utah,SP14,Attorney General,,Jon Harper,Democratic,71,,,,
Utah,SP14,Attorney General,,Sean Reyes,Republican,527,,,,
Utah,SP14,Attorney General,,W. Andrew McCullough,Libertarian,30,,,,
Utah,SP15,Attorney General,,Michael Isbell,Independent American,4,,,,
Utah,SP15,Attorney General,,Jon Harper,Democratic,69,,,,
Utah,SP15,Attorney General,,Sean Reyes,Republican,359,,,,
Utah,SP15,Attorney General,,W. Andrew McCullough,Libertarian,29,,,,
Utah,SP16,Attorney General,,Michael Isbell,Independent American,31,,,,
Utah,SP16,Attorney General,,Jon Harper,Democratic,120,,,,
Utah,SP16,Attorney General,,Sean Reyes,Republican,419,,,,
Utah,SP16,Attorney General,,W. Andrew McCullough,Libertarian,70,,,,
Utah,SP17,Attorney General,,Michael Isbell,Independent American,10,,,,
Utah,SP17,Attorney General,,Jon Harper,Democratic,42,,,,
Utah,SP17,Attorney General,,Sean Reyes,Republican,190,,,,
Utah,SP17,Attorney General,,W. Andrew McCullough,Libertarian,21,,,,
Utah,SP18,Attorney General,,Michael Isbell,Independent American,10,,,,
Utah,SP18,Attorney General,,Jon Harper,Democratic,61,,,,
Utah,SP18,Attorney General,,Sean Reyes,Republican,327,,,,
Utah,SP18,Attorney General,,W. Andrew McCullough,Libertarian,22,,,,
Utah,SQ01,Attorney General,,Michael Isbell,Independent American,12,,,,
Utah,SQ01,Attorney General,,Jon Harper,Democratic,105,,,,
Utah,SQ01,Attorney General,,Sean Reyes,Republican,729,,,,
Utah,SQ01,Attorney General,,W. Andrew McCullough,Libertarian,63,,,,
Utah,SQ02,Attorney General,,Michael Isbell,Independent American,56,,,,
Utah,SQ02,Attorney General,,Jon Harper,Democratic,134,,,,
Utah,SQ02,Attorney General,,Sean Reyes,Republican,891,,,,
Utah,SQ02,Attorney General,,W. Andrew McCullough,Libertarian,72,,,,
Utah,SQ03,Attorney General,,Michael Isbell,Independent American,28,,,,
Utah,SQ03,Attorney General,,Jon Harper,Democratic,74,,,,
Utah,SQ03,Attorney General,,Sean Reyes,Republican,637,,,,
Utah,SQ03,Attorney General,,W. Andrew McCullough,Libertarian,50,,,,
Utah,SQ04,Attorney General,,Michael Isbell,Independent American,7,,,,
Utah,SQ04,Attorney General,,Jon Harper,Democratic,22,,,,
Utah,SQ04,Attorney General,,Sean Reyes,Republican,229,,,,
Utah,SQ04,Attorney General,,W. Andrew McCullough,Libertarian,27,,,,
Utah,SR01,Attorney General,,Michael Isbell,Independent American,20,,,,
Utah,SR01,Attorney General,,Jon Harper,Democratic,86,,,,
Utah,SR01,Attorney General,,Sean Reyes,Republican,796,,,,
Utah,SR01,Attorney General,,W. Andrew McCullough,Libertarian,55,,,,
Utah,SR02,Attorney General,,Michael Isbell,Independent American,14,,,,
Utah,SR02,Attorney General,,Jon Harper,Democratic,87,,,,
Utah,SR02,Attorney General,,Sean Reyes,Republican,456,,,,
Utah,SR02,Attorney General,,W. Andrew McCullough,Libertarian,35,,,,
Utah,SR03,Attorney General,,Michael Isbell,Independent American,42,,,,
Utah,SR03,Attorney General,,Jon Harper,Democratic,158,,,,
Utah,SR03,Attorney General,,Sean Reyes,Republican,1706,,,,
Utah,SR03,Attorney General,,W. Andrew McCullough,Libertarian,123,,,,
Utah,SR04,Attorney General,,Michael Isbell,Independent American,22,,,,
Utah,SR04,Attorney General,,Jon Harper,Democratic,91,,,,
Utah,SR04,Attorney General,,Sean Reyes,Republican,558,,,,
Utah,SR04,Attorney General,,W. Andrew McCullough,Libertarian,56,,,,
Utah,SR05,Attorney General,,Michael Isbell,Independent American,15,,,,
Utah,SR05,Attorney General,,Jon Harper,Democratic,117,,,,
Utah,SR05,Attorney General,,Sean Reyes,Republican,771,,,,
Utah,SR05,Attorney General,,W. Andrew McCullough,Libertarian,91,,,,
Utah,SR06,Attorney General,,Michael Isbell,Independent American,33,,,,
Utah,SR06,Attorney General,,Jon Harper,Democratic,119,,,,
Utah,SR06,Attorney General,,Sean Reyes,Republican,871,,,,
Utah,SR06,Attorney General,,W. Andrew McCullough,Libertarian,74,,,,
Utah,SR07,Attorney General,,Michael Isbell,Independent American,13,,,,
Utah,SR07,Attorney General,,Jon Harper,Democratic,109,,,,
Utah,SR07,Attorney General,,Sean Reyes,Republican,708,,,,
Utah,SR07,Attorney General,,W. Andrew McCullough,Libertarian,54,,,,
Utah,SR08,Attorney General,,Michael Isbell,Independent American,47,,,,
Utah,SR08,Attorney General,,Jon Harper,Democratic,167,,,,
Utah,SR08,Attorney General,,Sean Reyes,Republican,1269,,,,
Utah,SR08,Attorney General,,W. Andrew McCullough,Libertarian,96,,,,
Utah,UCBE1,Attorney General,,Michael Isbell,Independent American,0,,,,
Utah,UCBE1,Attorney General,,Jon Harper,Democratic,0,,,,
Utah,UCBE1,Attorney General,,Sean Reyes,Republican,1,,,,
Utah,UCBE1,Attorney General,,W. Andrew McCullough,Libertarian,0,,,,
Utah,UCBE2,Attorney General,,Michael Isbell,Independent American,2,,,,
Utah,UCBE2,Attorney General,,Jon Harper,Democratic,7,,,,
Utah,UCBE2,Attorney General,,Sean Reyes,Republican,28,,,,
Utah,UCBE2,Attorney General,,W. Andrew McCullough,Libertarian,4,,,,
Utah,UCCB1,Attorney General,,Michael Isbell,Independent American,6,,,,
Utah,UCCB1,Attorney General,,Jon Harper,Democratic,9,,,,
Utah,UCCB1,Attorney General,,Sean Reyes,Republican,91,,,,
Utah,UCCB1,Attorney General,,W. Andrew McCullough,Libertarian,8,,,,
Utah,UCCF1,Attorney General,,Michael Isbell,Independent American,0,,,,
Utah,UCCF1,Attorney General,,Jon Harper,Democratic,0,,,,
Utah,UCCF1,Attorney General,,Sean Reyes,Republican,0,,,,
Utah,UCCF1,Attorney General,,W. Andrew McCullough,Libertarian,0,,,,
Utah,UCCF2,Attorney General,,Michael Isbell,Independent American,0,,,,
Utah,UCCF2,Attorney General,,Jon Harper,Democratic,0,,,,
Utah,UCCF2,Attorney General,,Sean Reyes,Republican,0,,,,
Utah,UCCF2,Attorney General,,W. Andrew McCullough,Libertarian,0,,,,
Utah,UCEL1,Attorney General,,Michael Isbell,Independent American,3,,,,
Utah,UCEL1,Attorney General,,Jon Harper,Democratic,12,,,,
Utah,UCEL1,Attorney General,,Sean Reyes,Republican,50,,,,
Utah,UCEL1,Attorney General,,W. Andrew McCullough,Libertarian,5,,,,
Utah,UCEL2,Attorney General,,Michael Isbell,Independent American,2,,,,
Utah,UCEL2,Attorney General,,Jon Harper,Democratic,3,,,,
Utah,UCEL2,Attorney General,,Sean Reyes,Republican,63,,,,
Utah,UCEL2,Attorney General,,W. Andrew McCullough,Libertarian,2,,,,
Utah,UCFF,Attorney General,,Michael Isbell,Independent American,0,,,,
Utah,UCFF,Attorney General,,Jon Harper,Democratic,0,,,,
Utah,UCFF,Attorney General,,Sean Reyes,Republican,4,,,,
Utah,UCFF,Attorney General,,W. Andrew McCullough,Libertarian,0,,,,
Utah,UCLS1,Attorney General,,Michael Isbell,Independent American,13,,,,
Utah,UCLS1,Attorney General,,Jon Harper,Democratic,57,,,,
Utah,UCLS1,Attorney General,,Sean Reyes,Republican,461,,,,
Utah,UCLS1,Attorney General,,W. Andrew McCullough,Libertarian,30,,,,
Utah,UCLS2,Attorney General,,Michael Isbell,Independent American,6,,,,
Utah,UCLS2,Attorney General,,Jon Harper,Democratic,25,,,,
Utah,UCLS2,Attorney General,,Sean Reyes,Republican,218,,,,
Utah,UCLS2,Attorney General,,W. Andrew McCullough,Libertarian,10,,,,
Utah,UCLV,Attorney General,,Michael Isbell,Independent American,0,,,,
Utah,UCLV,Attorney General,,Jon Harper,Democratic,0,,,,
Utah,UCLV,Attorney General,,Sean Reyes,Republican,0,,,,
Utah,UCLV,Attorney General,,W. Andrew McCullough,Libertarian,0,,,,
Utah,UCPC1,Attorney General,,Michael Isbell,Independent American,1,,,,
Utah,UCPC1,Attorney General,,Jon Harper,Democratic,15,,,,
Utah,UCPC1,Attorney General,,Sean Reyes,Republican,82,,,,
Utah,UCPC1,Attorney General,,W. Andrew McCullough,Libertarian,6,,,,
Utah,UCPC2,Attorney General,,Michael Isbell,Independent American,2,,,,
Utah,UCPC2,Attorney General,,Jon Harper,Democratic,31,,,,
Utah,UCPC2,Attorney General,,Sean Reyes,Republican,47,,,,
Utah,UCPC2,Attorney General,,W. Andrew McCullough,Libertarian,4,,,,
Utah,UCSL,Attorney General,,Michael Isbell,Independent American,3,,,,
Utah,UCSL,Attorney General,,Jon Harper,Democratic,22,,,,
Utah,UCSL,Attorney General,,Sean Reyes,Republican,199,,,,
Utah,UCSL,Attorney General,,W. Andrew McCullough,Libertarian,11,,,,
Utah,UCUL1,Attorney General,,Michael Isbell,Independent American,0,,,,
Utah,UCUL1,Attorney General,,Jon Harper,Democratic,0,,,,
Utah,UCUL1,Attorney General,,Sean Reyes,Republican,0,,,,
Utah,UCUL1,Attorney General,,W. Andrew McCullough,Libertarian,0,,,,
Utah,UCUL2,Attorney General,,Michael Isbell,Independent American,0,,,,
Utah,UCUL2,Attorney General,,Jon Harper,Democratic,1,,,,
Utah,UCUL2,Attorney General,,Sean Reyes,Republican,0,,,,
Utah,UCUL2,Attorney General,,W. Andrew McCullough,Libertarian,0,,,,
Utah,VI01,Attorney General,,Michael Isbell,Independent American,12,,,,
Utah,VI01,Attorney General,,Jon Harper,Democratic,73,,,,
Utah,VI01,Attorney General,,Sean Reyes,Republican,477,,,,
Utah,VI01,Attorney General,,W. Andrew McCullough,Libertarian,29,,,,
Utah,VI01S,Attorney General,,Michael Isbell,Independent American,1,,,,
Utah,VI01S,Attorney General,,Jon Harper,Democratic,6,,,,
Utah,VI01S,Attorney General,,Sean Reyes,Republican,25,,,,
Utah,VI01S,Attorney General,,W. Andrew McCullough,Libertarian,2,,,,
Utah,VI01S2,Attorney General,,Michael Isbell,Independent American,2,,,,
Utah,VI01S2,Attorney General,,Jon Harper,Democratic,1,,,,
Utah,VI01S2,Attorney General,,Sean Reyes,Republican,21,,,,
Utah,VI01S2,Attorney General,,W. Andrew McCullough,Libertarian,3,,,,
Utah,VI01UL,Attorney General,,Michael Isbell,Independent American,0,,,,
Utah,VI01UL,Attorney General,,Jon Harper,Democratic,0,,,,
Utah,VI01UL,Attorney General,,Sean Reyes,Republican,0,,,,
Utah,VI01UL,Attorney General,,W. Andrew McCullough,Libertarian,0,,,,
Utah,VI02,Attorney General,,Michael Isbell,Independent American,6,,,,
Utah,VI02,Attorney General,,Jon Harper,Democratic,77,,,,
Utah,VI02,Attorney General,,Sean Reyes,Republican,214,,,,
Utah,VI02,Attorney General,,W. Andrew McCullough,Libertarian,23,,,,
Utah,WH01,Attorney General,,Michael Isbell,Independent American,9,,,,
Utah,WH01,Attorney General,,Jon Harper,Democratic,66,,,,
Utah,WH01,Attorney General,,Sean Reyes,Republican,555,,,,
Utah,WH01,Attorney General,,W. Andrew McCullough,Libertarian,35,,,,
Utah,AF01,State Auditor,,John Dougall,Republican,883,,,,
Utah,AF01,State Auditor,,Jared Green,Independent American,43,,,,
Utah,AF01,State Auditor,,Mike Mitchell,Democratic,155,,,,
Utah,AF01S,State Auditor,,John Dougall,Republican,0,,,,
Utah,AF01S,State Auditor,,Jared Green,Independent American,0,,,,
Utah,AF01S,State Auditor,,Mike Mitchell,Democratic,0,,,,
Utah,AF02,State Auditor,,John Dougall,Republican,432,,,,
Utah,AF02,State Auditor,,Jared Green,Independent American,46,,,,
Utah,AF02,State Auditor,,Mike Mitchell,Democratic,144,,,,
Utah,AF03,State Auditor,,John Dougall,Republican,752,,,,
Utah,AF03,State Auditor,,Jared Green,Independent American,44,,,,
Utah,AF03,State Auditor,,Mike Mitchell,Democratic,93,,,,
Utah,AF04,State Auditor,,John Dougall,Republican,560,,,,
Utah,AF04,State Auditor,,Jared Green,Independent American,45,,,,
Utah,AF04,State Auditor,,Mike Mitchell,Democratic,160,,,,
Utah,AF05,State Auditor,,John Dougall,Republican,507,,,,
Utah,AF05,State Auditor,,Jared Green,Independent American,29,,,,
Utah,AF05,State Auditor,,Mike Mitchell,Democratic,126,,,,
Utah,AF06,State Auditor,,John Dougall,Republican,784,,,,
Utah,AF06,State Auditor,,Jared Green,Independent American,41,,,,
Utah,AF06,State Auditor,,Mike Mitchell,Democratic,125,,,,
Utah,AF06S,State Auditor,,John Dougall,Republican,95,,,,
Utah,AF06S,State Auditor,,Jared Green,Independent American,2,,,,
Utah,AF06S,State Auditor,,Mike Mitchell,Democratic,10,,,,
Utah,AF07,State Auditor,,John Dougall,Republican,946,,,,
Utah,AF07,State Auditor,,Jared Green,Independent American,65,,,,
Utah,AF07,State Auditor,,Mike Mitchell,Democratic,190,,,,
Utah,AF08,State Auditor,,John Dougall,Republican,680,,,,
Utah,AF08,State Auditor,,Jared Green,Independent American,39,,,,
Utah,AF08,State Auditor,,Mike Mitchell,Democratic,159,,,,
Utah,AF09,State Auditor,,John Dougall,Republican,579,,,,
Utah,AF09,State Auditor,,Jared Green,Independent American,53,,,,
Utah,AF09,State Auditor,,Mike Mitchell,Democratic,98,,,,
Utah,AF10,State Auditor,,John Dougall,Republican,781,,,,
Utah,AF10,State Auditor,,Jared Green,Independent American,46,,,,
Utah,AF10,State Auditor,,Mike Mitchell,Democratic,91,,,,
Utah,AF10S,State Auditor,,John Dougall,Republican,76,,,,
Utah,AF10S,State Auditor,,Jared Green,Independent American,7,,,,
Utah,AF10S,State Auditor,,Mike Mitchell,Democratic,9,,,,
Utah,AF11,State Auditor,,John Dougall,Republican,513,,,,
Utah,AF11,State Auditor,,Jared Green,Independent American,34,,,,
Utah,AF11,State Auditor,,Mike Mitchell,Democratic,109,,,,
Utah,AF12,State Auditor,,John Dougall,Republican,511,,,,
Utah,AF12,State Auditor,,Jared Green,Independent American,59,,,,
Utah,AF12,State Auditor,,Mike Mitchell,Democratic,183,,,,
Utah,AF13,State Auditor,,John Dougall,Republican,354,,,,
Utah,AF13,State Auditor,,Jared Green,Independent American,41,,,,
Utah,AF13,State Auditor,,Mike Mitchell,Democratic,74,,,,
Utah,AF14,State Auditor,,John Dougall,Republican,31,,,,
Utah,AF14,State Auditor,,Jared Green,Independent American,5,,,,
