county,precincts,office,district,party,candidate,votes
Garfield,Ticaboo,Attorney General,,Libertarian,W. Andrew McCullough,7
Garfield,Tropic,Attorney General,,Libertarian,W. Andrew McCullough,8
Garfield,Bryce,Attorney General,,Libertarian,W. Andrew McCullough,0
Garfield,Antimony,State Auditor,,Republican,John Dougall,64
Garfield,Antimony,State Auditor,,Independent American,Jared Green,1
Garfield,Antimony,State Auditor,,Democratic, Mike Mitchell,6
Garfield,Boulder,State Auditor,,Republican,John Dougall,66
Garfield,Boulder,State Auditor,,Independent American,Jared Green,17
Garfield,Boulder,State Auditor,,Democratic, Mike Mitchell,101
Garfield,Cannonville,State Auditor,,Republican,John Dougall,62
Garfield,Cannonville,State Auditor,,Independent American,Jared Green,2
Garfield,Cannonville,State Auditor,,Democratic, Mike Mitchell,9
Garfield,Escalante,State Auditor,,Republican,John Dougall,312
Garfield,Escalante,State Auditor,,Independent American,Jared Green,14
Garfield,Escalante,State Auditor,,Democratic, Mike Mitchell,122
Garfield,Hatch,State Auditor,,Republican,John Dougall,124
Garfield,Hatch,State Auditor,,Independent American,Jared Green,8
Garfield,Hatch,State Auditor,,Democratic, Mike Mitchell,19
Garfield,Henrieville,State Auditor,,Republican,John Dougall,87
Garfield,Henrieville,State Auditor,,Independent American,Jared Green,9
Garfield,Henrieville,State Auditor,,Democratic, Mike Mitchell,20
Garfield,Pang1,State Auditor,,Republican,John Dougall,407
Garfield,Pang1,State Auditor,,Independent American,Jared Green,28
Garfield,Pang1,State Auditor,,Democratic, Mike Mitchell,62
Garfield,Pang2,State Auditor,,Republican,John Dougall,323
Garfield,Pang2,State Auditor,,Independent American,Jared Green,10
Garfield,Pang2,State Auditor,,Democratic, Mike Mitchell,48
Garfield,Ticaboo,State Auditor,,Republican,John Dougall,14
Garfield,Ticaboo,State Auditor,,Independent American,Jared Green,4
Garfield,Ticaboo,State Auditor,,Democratic, Mike Mitchell,5
Garfield,Tropic,State Auditor,,Republican,John Dougall,220
Garfield,Tropic,State Auditor,,Independent American,Jared Green,9
Garfield,Tropic,State Auditor,,Democratic, Mike Mitchell,32
Garfield,Bryce,State Auditor,,Republican,John Dougall,25
Garfield,Bryce,State Auditor,,Independent American,Jared Green,0
Garfield,Bryce,State Auditor,,Democratic, Mike Mitchell,3
Garfield,Antimony,State Treasurer,,Constitution,Richard Proctor,3
Garfield,Antimony,State Treasurer,,Democratic,Neil A. Hansen,6
Garfield,Antimony,State Treasurer,,Republican,David Damschen,62
Garfield,Boulder,State Treasurer,,Constitution,Richard Proctor,19
Garfield,Boulder,State Treasurer,,Democratic,Neil A. Hansen,95
Garfield,Boulder,State Treasurer,,Republican,David Damschen,65
Garfield,Cannonville,State Treasurer,,Constitution,Richard Proctor,6
Garfield,Cannonville,State Treasurer,,Democratic,Neil A. Hansen,10
Garfield,Cannonville,State Treasurer,,Republican,David Damschen,56
Garfield,Escalante,State Treasurer,,Constitution,Richard Proctor,27
Garfield,Escalante,State Treasurer,,Democratic,Neil A. Hansen,119
Garfield,Escalante,State Treasurer,,Republican,David Damschen,302
Garfield,Hatch,State Treasurer,,Constitution,Richard Proctor,11
Garfield,Hatch,State Treasurer,,Democratic,Neil A. Hansen,25
Garfield,Hatch,State Treasurer,,Republican,David Damschen,118
Garfield,Henrieville,State Treasurer,,Constitution,Richard Proctor,15
Garfield,Henrieville,State Treasurer,,Democratic,Neil A. Hansen,21
Garfield,Henrieville,State Treasurer,,Republican,David Damschen,81
Garfield,Pang1,State Treasurer,,Constitution,Richard Proctor,22
Garfield,Pang1,State Treasurer,,Democratic,Neil A. Hansen,68
Garfield,Pang1,State Treasurer,,Republican,David Damschen,409
Garfield,Pang2,State Treasurer,,Constitution,Richard Proctor,23
Garfield,Pang2,State Treasurer,,Democratic,Neil A. Hansen,41
Garfield,Pang2,State Treasurer,,Republican,David Damschen,320
Garfield,Ticaboo,State Treasurer,,Constitution,Richard Proctor,6
Garfield,Ticaboo,State Treasurer,,Democratic,Neil A. Hansen,4
Garfield,Ticaboo,State Treasurer,,Republican,David Damschen,13
Garfield,Tropic,State Treasurer,,Constitution,Richard Proctor,13
Garfield,Tropic,State Treasurer,,Democratic,Neil A. Hansen,38
Garfield,Tropic,State Treasurer,,Republican,David Damschen,206
Garfield,Bryce,State Treasurer,,Constitution,Richard Proctor,0
Garfield,Bryce,State Treasurer,,Democratic,Neil A. Hansen,2
Garfield,Bryce,State Treasurer,,Republican,David Damschen,25
Garfield,Antimony,State Senate,24,Republican,Ralph Okerlund,62
Garfield,Boulder,State Senate,24,Republican,Ralph Okerlund,101
Garfield,Cannonville,State Senate,24,Republican,Ralph Okerlund,65
Garfield,Escalante,State Senate,24,Republican,Ralph Okerlund,327
Garfield,Hatch,State Senate,24,Republican,Ralph Okerlund,130
Garfield,Henrieville,State Senate,24,Republican,Ralph Okerlund,91
Garfield,Pang1,State Senate,24,Republican,Ralph Okerlund,450
Garfield,Pang2,State Senate,24,Republican,Ralph Okerlund,339
Garfield,Ticaboo,State Senate,24,Republican,Ralph Okerlund,19
Garfield,Tropic,State Senate,24,Republican,Ralph Okerlund,232
Garfield,Bryce,State Senate,24,Republican,Ralph Okerlund,25
Garfield,Antimony,State House,73,Republican,Mike Noel,65
Garfield,Antimony,State House,73,Democratic,Ty Markham,6
Garfield,Boulder,State House,73,Republican,Mike Noel,85
Garfield,Boulder,State House,73,Democratic,Ty Markham,122
Garfield,Cannonville,State House,73,Republican,Mike Noel,63
Garfield,Cannonville,State House,73,Democratic,Ty Markham,11
Garfield,Escalante,State House,73,Republican,Mike Noel,312
Garfield,Escalante,State House,73,Democratic,Ty Markham,155
Garfield,Hatch,State House,73,Republican,Mike Noel,121
Garfield,Hatch,State House,73,Democratic,Ty Markham,36
Garfield,Henrieville,State House,73,Republican,Mike Noel,91
Garfield,Henrieville,State House,73,Democratic,Ty Markham,28
Garfield,Pang1,State House,73,Republican,Mike Noel,431
Garfield,Pang1,State House,73,Democratic,Ty Markham,81
Garfield,Pang2,State House,73,Republican,Mike Noel,326
Garfield,Pang2,State House,73,Democratic,Ty Markham,69
Garfield,Ticaboo,State House,73,Republican,Mike Noel,13
Garfield,Ticaboo,State House,73,Democratic,Ty Markham,10
Garfield,Tropic,State House,73,Republican,Mike Noel,221
Garfield,Tropic,State House,73,Democratic,Ty Markham,41
Garfield,Bryce,State House,73,Republican,Mike Noel,26
Garfield,Bryce,State House,73,Democratic,Ty Markham,2
