county,party,district,candidate,precinct,office,votes,early_voting,election_day
Summit,IAM,1,Dwayne A. Vance,40 Moose Hollow,U.S. House,4,0,4
Summit,IAM,1,Dwayne A. Vance,41 Upper Pinebrook,U.S. House,6,0,6
Summit,IAM,1,Dwayne A. Vance,42 Snyders Mill,U.S. House,6,0,6
Summit,IAM,1,Dwayne A. Vance,43 Kimball Canyon,U.S. House,0,0,0
Summit,IAM,1,Dwayne A. Vance,44 Silver Creek Lower,U.S. House,5,1,4
Summit,IAM,1,Dwayne A. Vance,45 Promontory Ridge,U.S. House,0,0,0
Summit,REP,1,Rob Bishop,1 Deer Valley North,U.S. House,21,3,18
Summit,REP,1,Rob Bishop,2 Old Town South,U.S. House,12,2,10
Summit,REP,1,Rob Bishop,3 Prospector,U.S. House,20,3,17
Summit,REP,1,Rob Bishop,4 Thaynes Canyon,U.S. House,51,10,41
Summit,REP,1,Rob Bishop,5 Park Meadows South,U.S. House,49,16,33
Summit,REP,1,Rob Bishop,6 Quarry Mountain,U.S. House,73,23,50
Summit,REP,1,Rob Bishop,7 Park West,U.S. House,144,43,101
Summit,REP,1,Rob Bishop,8 Silver Creek Upper,U.S. House,44,9,35
Summit,REP,1,Rob Bishop,9 Lower Pinebrook,U.S. House,116,36,80
Summit,REP,1,Rob Bishop,10 Summit Park West,U.S. House,23,5,18
Summit,REP,1,Rob Bishop,11 South Summit South,U.S. House,121,27,94
Summit,REP,1,Rob Bishop,12 Kamas,U.S. House,215,58,157
Summit,REP,1,Rob Bishop,13 South Summit East,U.S. House,97,32,65
Summit,REP,1,Rob Bishop,14 Oakley,U.S. House,240,24,216
Summit,REP,1,Rob Bishop,15:2 Peoa,U.S. House,3,1,2
Summit,REP,1,Rob Bishop,15:20 Peoa,U.S. House,68,14,54
Summit,REP,1,Rob Bishop,15:32 Peoa,U.S. House,17,7,10
Summit,REP,1,Rob Bishop,16 Silver Springs,U.S. House,91,18,73
Summit,REP,1,Rob Bishop,17:2 Wanship,U.S. House,25,7,18
Summit,REP,1,Rob Bishop,17:10 Wanship,U.S. House,109,12,97
Summit,REP,1,Rob Bishop,17:32 Wanship,U.S. House,1,0,163
Summit,REP,1,Rob Bishop,18 Hoytsville,U.S. House,187,24,188
Summit,REP,1,Rob Bishop,19 Coalville,U.S. House,234,46,85
Summit,REP,1,Rob Bishop,20 Chalk Creek,U.S. House,112,27,28
Summit,REP,1,Rob Bishop,21 Weber Canyon,U.S. House,40,12,72
Summit,REP,1,Rob Bishop,22 South Summit West,U.S. House,104,32,72
Summit,REP,1,Rob Bishop,23 Highland Estates West,U.S. House,96,24,76
Summit,REP,1,Rob Bishop,24 North Summit North,U.S. House,87,11,173
Summit,REP,1,Rob Bishop,25 Henefer,U.S. House,184,11,49
Summit,REP,1,Rob Bishop,26 Ranch Place,U.S. House,70,21,69
Summit,REP,1,Rob Bishop,27 Jeremy West,U.S. House,89,35,179
Summit,REP,1,Rob Bishop,28 Francis,U.S. House,214,6,25
Summit,REP,1,Rob Bishop,29 Wagon Wheel,U.S. House,31,19,48
Summit,REP,1,Rob Bishop,30 Summit Park East,U.S. House,67,22,54
Summit,REP,1,Rob Bishop,31 Deer Valley South,U.S. House,76,4,28
Summit,REP,1,Rob Bishop,32 Old Town North,U.S. House,32,2,19
Summit,REP,1,Rob Bishop,33 Sidewinder,U.S. House,21,19,57
Summit,REP,1,Rob Bishop,34 Bitner,U.S. House,76,30,78
Summit,REP,1,Rob Bishop,35 Park Meadows North,U.S. House,108,10,36
Summit,REP,1,Rob Bishop,36 Ranch Road South,U.S. House,46,13,80
Summit,REP,1,Rob Bishop,38 Highland Estates East,U.S. House,62,7,55
Summit,REP,1,Rob Bishop,39 Pinebrook North,U.S. House,56,4,52
Summit,REP,1,Rob Bishop,40 Moose Hollow,U.S. House,115,24,91
Summit,REP,1,Rob Bishop,41 Upper Pinebrook,U.S. House,55,13,42
Summit,REP,1,Rob Bishop,42 Snyders Mill,U.S. House,59,17,42
Summit,REP,1,Rob Bishop,43 Kimball Canyon,U.S. House,12,2,10
Summit,REP,1,Rob Bishop,44 Silver Creek Lower,U.S. House,54,12,42
Summit,REP,1,Rob Bishop,45 Promontory Ridge,U.S. House,6,4,2
Summit,LIB,1,Craig Bowden,1 Deer Valley North,U.S. House,2,0,2
Summit,LIB,1,Craig Bowden,2 Old Town South,U.S. House,0,0,0
Summit,LIB,1,Craig Bowden,3 Prospector,U.S. House,8,0,8
Summit,LIB,1,Craig Bowden,4 Thaynes Canyon,U.S. House,3,0,3
Summit,LIB,1,Craig Bowden,5 Park Meadows South,U.S. House,2,0,2
Summit,LIB,1,Craig Bowden,6 Quarry Mountain,U.S. House,7,2,5
Summit,LIB,1,Craig Bowden,7 Park West,U.S. House,11,0,11
Summit,LIB,1,Craig Bowden,8 Silver Creek Upper,U.S. House,4,0,4
Summit,LIB,1,Craig Bowden,9 Lower Pinebrook,U.S. House,6,1,5
Summit,LIB,1,Craig Bowden,10 Summit Park West,U.S. House,6,2,4
Summit,LIB,1,Craig Bowden,11 South Summit South,U.S. House,5,3,2
Summit,LIB,1,Craig Bowden,12 Kamas,U.S. House,16,5,11
Summit,LIB,1,Craig Bowden,13 South Summit East,U.S. House,7,1,6
Summit,LIB,1,Craig Bowden,14 Oakley,U.S. House,17,4,13
Summit,LIB,1,Craig Bowden,15:2 Peoa,U.S. House,0,0,0
Summit,LIB,1,Craig Bowden,15:20 Peoa,U.S. House,5,1,4
Summit,LIB,1,Craig Bowden,15:32 Peoa,U.S. House,1,1,0
Summit,LIB,1,Craig Bowden,16 Silver Springs,U.S. House,4,1,3
Summit,LIB,1,Craig Bowden,17:2 Wanship,U.S. House,2,1,1
Summit,LIB,1,Craig Bowden,17:10 Wanship,U.S. House,8,0,8
Summit,LIB,1,Craig Bowden,17:32 Wanship,U.S. House,2,1,5
Summit,LIB,1,Craig Bowden,18 Hoytsville,U.S. House,6,1,13
Summit,LIB,1,Craig Bowden,19 Coalville,U.S. House,14,1,3
Summit,LIB,1,Craig Bowden,20 Chalk Creek,U.S. House,3,0,1
Summit,LIB,1,Craig Bowden,21 Weber Canyon,U.S. House,1,0,2
Summit,LIB,1,Craig Bowden,22 South Summit West,U.S. House,3,1,9
Summit,LIB,1,Craig Bowden,23 Highland Estates West,U.S. House,9,0,3
Summit,LIB,1,Craig Bowden,24 North Summit North,U.S. House,3,0,9
Summit,LIB,1,Craig Bowden,25 Henefer,U.S. House,9,0,3
Summit,LIB,1,Craig Bowden,26 Ranch Place,U.S. House,3,0,5
Summit,LIB,1,Craig Bowden,27 Jeremy West,U.S. House,5,0,6
Summit,LIB,1,Craig Bowden,28 Francis,U.S. House,6,1,1
Summit,LIB,1,Craig Bowden,29 Wagon Wheel,U.S. House,2,1,8
Summit,LIB,1,Craig Bowden,30 Summit Park East,U.S. House,9,1,4
Summit,LIB,1,Craig Bowden,31 Deer Valley South,U.S. House,5,0,4
Summit,LIB,1,Craig Bowden,32 Old Town North,U.S. House,4,2,3
Summit,LIB,1,Craig Bowden,33 Sidewinder,U.S. House,5,2,8
Summit,LIB,1,Craig Bowden,34 Bitner,U.S. House,10,0,2
Summit,LIB,1,Craig Bowden,35 Park Meadows North,U.S. House,2,0,0
Summit,LIB,1,Craig Bowden,36 Ranch Road South,U.S. House,0,2,4
Summit,LIB,1,Craig Bowden,38 Highland Estates East,U.S. House,6,0,6
Summit,LIB,1,Craig Bowden,39 Pinebrook North,U.S. House,5,0,5
Summit,LIB,1,Craig Bowden,40 Moose Hollow,U.S. House,4,0,4
Summit,LIB,1,Craig Bowden,41 Upper Pinebrook,U.S. House,3,0,3
Summit,LIB,1,Craig Bowden,42 Snyders Mill,U.S. House,3,0,3
Summit,LIB,1,Craig Bowden,43 Kimball Canyon,U.S. House,1,0,1
Summit,LIB,1,Craig Bowden,44 Silver Creek Lower,U.S. House,2,0,2
Summit,LIB,1,Craig Bowden,45 Promontory Ridge,U.S. House,0,0,0
Summit,LIB,,W. Andrew McCullough,1 Deer Valley North,Attorney General,10,2,8
Summit,LIB,,W. Andrew McCullough,2 Old Town South,Attorney General,7,0,7
Summit,LIB,,W. Andrew McCullough,3 Prospector,Attorney General,9,2,7
Summit,LIB,,W. Andrew McCullough,4 Thaynes Canyon,Attorney General,4,0,4
Summit,LIB,,W. Andrew McCullough,5 Park Meadows South,Attorney General,4,0,4
Summit,LIB,,W. Andrew McCullough,6 Quarry Mountain,Attorney General,20,5,15
Summit,LIB,,W. Andrew McCullough,7 Park West,Attorney General,25,3,22
Summit,LIB,,W. Andrew McCullough,8 Silver Creek Upper,Attorney General,8,1,7
Summit,LIB,,W. Andrew McCullough,9 Lower Pinebrook,Attorney General,25,1,24
Summit,LIB,,W. Andrew McCullough,10 Summit Park West,Attorney General,10,2,8
Summit,LIB,,W. Andrew McCullough,11 South Summit South,Attorney General,4,1,3
Summit,LIB,,W. Andrew McCullough,12 Kamas,Attorney General,26,7,19
Summit,LIB,,W. Andrew McCullough,13 South Summit East,Attorney General,12,1,11
Summit,LIB,,W. Andrew McCullough,14 Oakley,Attorney General,24,1,23
Summit,LIB,,W. Andrew McCullough,15:2 Peoa,Attorney General,0,0,0
Summit,LIB,,W. Andrew McCullough,15:20 Peoa,Attorney General,8,1,7
Summit,LIB,,W. Andrew McCullough,15:32 Peoa,Attorney General,0,0,0
Summit,LIB,,W. Andrew McCullough,16 Silver Springs,Attorney General,19,3,16
Summit,LIB,,W. Andrew McCullough,17:2 Wanship,Attorney General,5,1,4
Summit,LIB,,W. Andrew McCullough,17:10 Wanship,Attorney General,9,0,9
Summit,LIB,,W. Andrew McCullough,17:32 Wanship,Attorney General,2,1,1
Summit,LIB,,W. Andrew McCullough,18 Hoytsville,Attorney General,7,2,5
Summit,LIB,,W. Andrew McCullough,19 Coalville,Attorney General,18,1,17
Summit,LIB,,W. Andrew McCullough,20 Chalk Creek,Attorney General,4,1,3
Summit,LIB,,W. Andrew McCullough,21 Weber Canyon,Attorney General,2,1,1
Summit,LIB,,W. Andrew McCullough,22 South Summit West,Attorney General,5,2,3
Summit,LIB,,W. Andrew McCullough,23 Highland Estates West,Attorney General,12,0,12
Summit,LIB,,W. Andrew McCullough,24 North Summit North,Attorney General,2,0,2
Summit,LIB,,W. Andrew McCullough,25 Henefer,Attorney General,10,0,10
Summit,LIB,,W. Andrew McCullough,26 Ranch Place,Attorney General,9,2,7
Summit,LIB,,W. Andrew McCullough,27 Jeremy West,Attorney General,9,1,8
Summit,LIB,,W. Andrew McCullough,28 Francis,Attorney General,13,3,10
Summit,LIB,,W. Andrew McCullough,29 Wagon Wheel,Attorney General,8,2,6
Summit,LIB,,W. Andrew McCullough,30 Summit Park East,Attorney General,24,1,23
Summit,LIB,,W. Andrew McCullough,31 Deer Valley South,Attorney General,9,3,6
Summit,LIB,,W. Andrew McCullough,32 Old Town North,Attorney General,5,0,5
Summit,LIB,,W. Andrew McCullough,33 Sidewinder,Attorney General,9,1,8
Summit,LIB,,W. Andrew McCullough,34 Bitner,Attorney General,18,1,17
Summit,LIB,,W. Andrew McCullough,35 Park Meadows North,Attorney General,15,2,13
Summit,LIB,,W. Andrew McCullough,36 Ranch Road South,Attorney General,5,1,4
Summit,LIB,,W. Andrew McCullough,37 Jeremy East,Attorney General,16,5,11
Summit,LIB,,W. Andrew McCullough,38 Highland Estates East,Attorney General,15,2,13
Summit,LIB,,W. Andrew McCullough,39 Pinebrook North,Attorney General,5,0,5
Summit,LIB,,W. Andrew McCullough,40 Moose Hollow,Attorney General,16,3,13
Summit,LIB,,W. Andrew McCullough,41 Upper Pinebrook,Attorney General,5,0,5
Summit,LIB,,W. Andrew McCullough,42 Snyders Mill,Attorney General,11,2,9
Summit,LIB,,W. Andrew McCullough,43 Kimball Canyon,Attorney General,3,0,3
Summit,LIB,,W. Andrew McCullough,44 Silver Creek Lower,Attorney General,9,2,7
Summit,LIB,,W. Andrew McCullough,45 Promontory Ridge,Attorney General,1,1,0
Summit,CON,,Gregory G. Hansen,1 Deer Valley North,Attorney General,1,0,1
Summit,CON,,Gregory G. Hansen,2 Old Town South,Attorney General,0,0,0
Summit,CON,,Gregory G. Hansen,3 Prospector,Attorney General,1,0,1
Summit,CON,,Gregory G. Hansen,4 Thaynes Canyon,Attorney General,2,1,1
Summit,CON,,Gregory G. Hansen,5 Park Meadows South,Attorney General,2,1,1
Summit,CON,,Gregory G. Hansen,6 Quarry Mountain,Attorney General,6,1,5
Summit,CON,,Gregory G. Hansen,7 Park West,Attorney General,6,0,6
Summit,CON,,Gregory G. Hansen,8 Silver Creek Upper,Attorney General,2,1,1
Summit,CON,,Gregory G. Hansen,9 Lower Pinebrook,Attorney General,9,1,8
Summit,CON,,Gregory G. Hansen,10 Summit Park West,Attorney General,3,1,2
Summit,CON,,Gregory G. Hansen,11 South Summit South,Attorney General,4,1,3
Summit,CON,,Gregory G. Hansen,12 Kamas,Attorney General,19,8,11
Summit,CON,,Gregory G. Hansen,13 South Summit East,Attorney General,9,3,6
Summit,CON,,Gregory G. Hansen,14 Oakley,Attorney General,16,0,16
Summit,CON,,Gregory G. Hansen,15:2 Peoa,Attorney General,0,0,0
Summit,CON,,Gregory G. Hansen,15:20 Peoa,Attorney General,6,1,5
Summit,CON,,Gregory G. Hansen,15:32 Peoa,Attorney General,1,1,0
Summit,CON,,Gregory G. Hansen,16 Silver Springs,Attorney General,2,0,2
Summit,CON,,Gregory G. Hansen,17:2 Wanship,Attorney General,0,0,0
Summit,CON,,Gregory G. Hansen,17:10 Wanship,Attorney General,7,1,6
Summit,CON,,Gregory G. Hansen,17:32 Wanship,Attorney General,0,0,0
Summit,CON,,Gregory G. Hansen,18 Hoytsville,Attorney General,11,1,10
Summit,CON,,Gregory G. Hansen,19 Coalville,Attorney General,24,6,18
Summit,CON,,Gregory G. Hansen,20 Chalk Creek,Attorney General,9,4,5
Summit,CON,,Gregory G. Hansen,21 Weber Canyon,Attorney General,3,1,2
Summit,CON,,Gregory G. Hansen,22 South Summit West,Attorney General,4,2,2
Summit,CON,,Gregory G. Hansen,23 Highland Estates West,Attorney General,6,2,4
Summit,CON,,Gregory G. Hansen,24 North Summit North,Attorney General,5,1,4
Summit,CON,,Gregory G. Hansen,25 Henefer,Attorney General,13,3,10
Summit,CON,,Gregory G. Hansen,26 Ranch Place,Attorney General,1,0,1
Summit,CON,,Gregory G. Hansen,27 Jeremy West,Attorney General,1,0,1
Summit,CON,,Gregory G. Hansen,28 Francis,Attorney General,9,2,7
Summit,CON,,Gregory G. Hansen,29 Wagon Wheel,Attorney General,0,0,0
Summit,CON,,Gregory G. Hansen,30 Summit Park East,Attorney General,6,3,3
Summit,CON,,Gregory G. Hansen,31 Deer Valley South,Attorney General,1,0,1
Summit,CON,,Gregory G. Hansen,32 Old Town North,Attorney General,2,0,2
Summit,CON,,Gregory G. Hansen,33 Sidewinder,Attorney General,2,0,2
Summit,CON,,Gregory G. Hansen,34 Bitner,Attorney General,3,1,2
Summit,CON,,Gregory G. Hansen,35 Park Meadows North,Attorney General,5,3,2
Summit,CON,,Gregory G. Hansen,36 Ranch Road South,Attorney General,1,0,1
Summit,CON,,Gregory G. Hansen,37 Jeremy East,Attorney General,4,2,2
Summit,CON,,Gregory G. Hansen,38 Highland Estates East,Attorney General,2,0,2
Summit,CON,,Gregory G. Hansen,39 Pinebrook North,Attorney General,2,2,0
Summit,CON,,Gregory G. Hansen,40 Moose Hollow,Attorney General,2,1,1
Summit,CON,,Gregory G. Hansen,41 Upper Pinebrook,Attorney General,4,1,3
Summit,CON,,Gregory G. Hansen,42 Snyders Mill,Attorney General,4,1,3
Summit,CON,,Gregory G. Hansen,43 Kimball Canyon,Attorney General,1,0,1
Summit,CON,,Gregory G. Hansen,44 Silver Creek Lower,Attorney General,2,0,2
Summit,CON,,Gregory G. Hansen,45 Promontory Ridge,Attorney General,0,0,0
Summit,DEM,,Charles A. Stormont,1 Deer Valley North,Attorney General,64,13,51
Summit,DEM,,Charles A. Stormont,2 Old Town South,Attorney General,71,18,53
Summit,DEM,,Charles A. Stormont,3 Prospector,Attorney General,60,9,51
Summit,DEM,,Charles A. Stormont,4 Thaynes Canyon,Attorney General,110,30,80
Summit,DEM,,Charles A. Stormont,5 Park Meadows South,Attorney General,118,49,69
Summit,DEM,,Charles A. Stormont,6 Quarry Mountain,Attorney General,218,76,142
Summit,DEM,,Charles A. Stormont,7 Park West,Attorney General,203,59,144
Summit,DEM,,Charles A. Stormont,8 Silver Creek Upper,Attorney General,64,26,38
Summit,DEM,,Charles A. Stormont,9 Lower Pinebrook,Attorney General,189,54,135
Summit,DEM,,Charles A. Stormont,10 Summit Park West,Attorney General,94,20,74
Summit,DEM,,Charles A. Stormont,11 South Summit South,Attorney General,29,10,19
Summit,DEM,,Charles A. Stormont,12 Kamas,Attorney General,106,40,66
Summit,DEM,,Charles A. Stormont,13 South Summit East,Attorney General,61,16,45
Summit,DEM,,Charles A. Stormont,14 Oakley,Attorney General,125,22,103
Summit,DEM,,Charles A. Stormont,15:2 Peoa,Attorney General,3,0,3
Summit,DEM,,Charles A. Stormont,15:20 Peoa,Attorney General,16,4,12
Summit,DEM,,Charles A. Stormont,15:32 Peoa,Attorney General,7,4,3
Summit,DEM,,Charles A. Stormont,16 Silver Springs,Attorney General,207,67,140
Summit,DEM,,Charles A. Stormont,17:2 Wanship,Attorney General,28,7,21
Summit,DEM,,Charles A. Stormont,17:10 Wanship,Attorney General,53,9,44
Summit,DEM,,Charles A. Stormont,17:32 Wanship,Attorney General,2,1,1
Summit,DEM,,Charles A. Stormont,18 Hoytsville,Attorney General,54,11,43
Summit,DEM,,Charles A. Stormont,19 Coalville,Attorney General,64,17,47
Summit,DEM,,Charles A. Stormont,20 Chalk Creek,Attorney General,25,6,19
Summit,DEM,,Charles A. Stormont,21 Weber Canyon,Attorney General,16,6,10
Summit,DEM,,Charles A. Stormont,22 South Summit West,Attorney General,42,11,31
Summit,DEM,,Charles A. Stormont,23 Highland Estates West,Attorney General,141,40,101
Summit,DEM,,Charles A. Stormont,24 North Summit North,Attorney General,15,4,11
Summit,DEM,,Charles A. Stormont,25 Henefer,Attorney General,24,0,24
Summit,DEM,,Charles A. Stormont,26 Ranch Place,Attorney General,134,44,90
Summit,DEM,,Charles A. Stormont,27 Jeremy West,Attorney General,98,24,74
Summit,DEM,,Charles A. Stormont,28 Francis,Attorney General,58,6,52
Summit,DEM,,Charles A. Stormont,29 Wagon Wheel,Attorney General,74,9,65
Summit,DEM,,Charles A. Stormont,30 Summit Park East,Attorney General,225,55,170
Summit,DEM,,Charles A. Stormont,31 Deer Valley South,Attorney General,136,35,101
Summit,DEM,,Charles A. Stormont,32 Old Town North,Attorney General,73,17,56
Summit,DEM,,Charles A. Stormont,33 Sidewinder,Attorney General,120,27,93
Summit,DEM,,Charles A. Stormont,34 Bitner,Attorney General,149,48,101
Summit,DEM,,Charles A. Stormont,35 Park Meadows North,Attorney General,158,55,103
Summit,DEM,,Charles A. Stormont,36 Ranch Road South,Attorney General,68,20,48
Summit,DEM,,Charles A. Stormont,37 Jeremy East,Attorney General,152,35,117
Summit,DEM,,Charles A. Stormont,38 Highland Estates East,Attorney General,169,39,130
Summit,DEM,,Charles A. Stormont,39 Pinebrook North,Attorney General,112,35,77
Summit,DEM,,Charles A. Stormont,40 Moose Hollow,Attorney General,148,56,92
Summit,DEM,,Charles A. Stormont,41 Upper Pinebrook,Attorney General,71,19,52
Summit,DEM,,Charles A. Stormont,42 Snyders Mill,Attorney General,137,43,94
Summit,DEM,,Charles A. Stormont,43 Kimball Canyon,Attorney General,20,3,17
Summit,DEM,,Charles A. Stormont,44 Silver Creek Lower,Attorney General,80,28,52
Summit,DEM,,Charles A. Stormont,45 Promontory Ridge,Attorney General,6,1,5
Summit,REP,,Sean D. Reyes,1 Deer Valley North,Attorney General,25,6,19
Summit,REP,,Sean D. Reyes,2 Old Town South,Attorney General,14,1,13
Summit,REP,,Sean D. Reyes,3 Prospector,Attorney General,25,4,21
Summit,REP,,Sean D. Reyes,4 Thaynes Canyon,Attorney General,61,12,49
Summit,REP,,Sean D. Reyes,5 Park Meadows South,Attorney General,63,20,43
Summit,REP,,Sean D. Reyes,6 Quarry Mountain,Attorney General,93,28,65
Summit,REP,,Sean D. Reyes,7 Park West,Attorney General,157,41,116
Summit,REP,,Sean D. Reyes,8 Silver Creek Upper,Attorney General,52,12,40
Summit,REP,,Sean D. Reyes,9 Lower Pinebrook,Attorney General,131,40,91
Summit,REP,,Sean D. Reyes,10 Summit Park West,Attorney General,26,5,21
Summit,REP,,Sean D. Reyes,11 South Summit South,Attorney General,120,26,94
Summit,REP,,Sean D. Reyes,12 Kamas,Attorney General,196,55,141
Summit,REP,,Sean D. Reyes,13 South Summit East,Attorney General,105,39,66
Summit,REP,,Sean D. Reyes,14 Oakley,Attorney General,246,23,223
Summit,REP,,Sean D. Reyes,15:2 Peoa,Attorney General,4,1,3
Summit,REP,,Sean D. Reyes,15:20 Peoa,Attorney General,69,12,57
Summit,REP,,Sean D. Reyes,15:32 Peoa,Attorney General,19,7,12
Summit,REP,,Sean D. Reyes,16 Silver Springs,Attorney General,113,23,90
Summit,REP,,Sean D. Reyes,17:2 Wanship,Attorney General,22,8,14
Summit,REP,,Sean D. Reyes,17:10 Wanship,Attorney General,121,13,108
Summit,REP,,Sean D. Reyes,17:32 Wanship,Attorney General,1,0,1
Summit,REP,,Sean D. Reyes,18 Hoytsville,Attorney General,169,25,144
Summit,REP,,Sean D. Reyes,19 Coalville,Attorney General,219,43,176
Summit,REP,,Sean D. Reyes,20 Chalk Creek,Attorney General,105,22,83
Summit,REP,,Sean D. Reyes,21 Weber Canyon,Attorney General,33,9,24
Summit,REP,,Sean D. Reyes,22 South Summit West,Attorney General,103,38,65
Summit,REP,,Sean D. Reyes,23 Highland Estates West,Attorney General,99,27,72
Summit,REP,,Sean D. Reyes,24 North Summit North,Attorney General,89,8,81
Summit,REP,,Sean D. Reyes,25 Henefer,Attorney General,169,9,160
Summit,REP,,Sean D. Reyes,26 Ranch Place,Attorney General,91,27,64
Summit,REP,,Sean D. Reyes,27 Jeremy West,Attorney General,103,19,84
Summit,REP,,Sean D. Reyes,28 Francis,Attorney General,222,34,188
Summit,REP,,Sean D. Reyes,29 Wagon Wheel,Attorney General,40,7,33
Summit,REP,,Sean D. Reyes,30 Summit Park East,Attorney General,78,19,59
Summit,REP,,Sean D. Reyes,31 Deer Valley South,Attorney General,93,29,64
Summit,REP,,Sean D. Reyes,32 Old Town North,Attorney General,40,7,33
Summit,REP,,Sean D. Reyes,33 Sidewinder,Attorney General,28,4,24
Summit,REP,,Sean D. Reyes,34 Bitner,Attorney General,86,25,61
Summit,REP,,Sean D. Reyes,35 Park Meadows North,Attorney General,132,35,97
Summit,REP,,Sean D. Reyes,36 Ranch Road South,Attorney General,54,12,42
Summit,REP,,Sean D. Reyes,37 Jeremy East,Attorney General,124,17,107
Summit,REP,,Sean D. Reyes,38 Highland Estates East,Attorney General,75,8,67
Summit,REP,,Sean D. Reyes,39 Pinebrook North,Attorney General,64,5,59
Summit,REP,,Sean D. Reyes,40 Moose Hollow,Attorney General,141,28,113
Summit,REP,,Sean D. Reyes,41 Upper Pinebrook,Attorney General,60,13,47
Summit,REP,,Sean D. Reyes,42 Snyders Mill,Attorney General,74,23,51
Summit,REP,,Sean D. Reyes,43 Kimball Canyon,Attorney General,13,2,11
Summit,REP,,Sean D. Reyes,44 Silver Creek Lower,Attorney General,65,14,51
Summit,REP,,Sean D. Reyes,45 Promontory Ridge,Attorney General,6,4,2
Summit,IAM,,Leslie D. Curtis,1 Deer Valley North,Attorney General,0,0,0
Summit,IAM,,Leslie D. Curtis,2 Old Town South,Attorney General,2,0,2
Summit,IAM,,Leslie D. Curtis,3 Prospector,Attorney General,9,0,9
Summit,IAM,,Leslie D. Curtis,4 Thaynes Canyon,Attorney General,3,1,2
Summit,IAM,,Leslie D. Curtis,5 Park Meadows South,Attorney General,5,0,5
Summit,IAM,,Leslie D. Curtis,6 Quarry Mountain,Attorney General,4,2,2
Summit,IAM,,Leslie D. Curtis,7 Park West,Attorney General,8,3,5
Summit,IAM,,Leslie D. Curtis,8 Silver Creek Upper,Attorney General,3,1,2
Summit,IAM,,Leslie D. Curtis,9 Lower Pinebrook,Attorney General,17,5,12
Summit,IAM,,Leslie D. Curtis,10 Summit Park West,Attorney General,6,2,4
Summit,IAM,,Leslie D. Curtis,11 South Summit South,Attorney General,4,1,3
Summit,IAM,,Leslie D. Curtis,12 Kamas,Attorney General,19,2,17
Summit,IAM,,Leslie D. Curtis,13 South Summit East,Attorney General,6,2,4
Summit,IAM,,Leslie D. Curtis,14 Oakley,Attorney General,26,3,23
Summit,IAM,,Leslie D. Curtis,15:2 Peoa,Attorney General,1,1,0
Summit,IAM,,Leslie D. Curtis,15:20 Peoa,Attorney General,5,1,4
Summit,IAM,,Leslie D. Curtis,15:32 Peoa,Attorney General,0,0,0
Summit,IAM,,Leslie D. Curtis,16 Silver Springs,Attorney General,6,1,5
Summit,IAM,,Leslie D. Curtis,17:2 Wanship,Attorney General,2,0,2
Summit,IAM,,Leslie D. Curtis,17:10 Wanship,Attorney General,8,0,8
Summit,IAM,,Leslie D. Curtis,17:32 Wanship,Attorney General,0,0,0
Summit,IAM,,Leslie D. Curtis,18 Hoytsville,Attorney General,13,3,10
Summit,IAM,,Leslie D. Curtis,19 Coalville,Attorney General,19,2,17
Summit,IAM,,Leslie D. Curtis,20 Chalk Creek,Attorney General,8,2,6
Summit,IAM,,Leslie D. Curtis,21 Weber Canyon,Attorney General,1,0,1
Summit,IAM,,Leslie D. Curtis,22 South Summit West,Attorney General,6,1,5
Summit,IAM,,Leslie D. Curtis,23 Highland Estates West,Attorney General,8,3,5
Summit,IAM,,Leslie D. Curtis,24 North Summit North,Attorney General,9,2,7
Summit,IAM,,Leslie D. Curtis,25 Henefer,Attorney General,10,1,9
Summit,IAM,,Leslie D. Curtis,26 Ranch Place,Attorney General,8,0,8
Summit,IAM,,Leslie D. Curtis,27 Jeremy West,Attorney General,2,0,2
Summit,IAM,,Leslie D. Curtis,28 Francis,Attorney General,5,2,3
Summit,IAM,,Leslie D. Curtis,29 Wagon Wheel,Attorney General,1,0,1
Summit,IAM,,Leslie D. Curtis,30 Summit Park East,Attorney General,13,5,8
Summit,IAM,,Leslie D. Curtis,31 Deer Valley South,Attorney General,5,0,5
Summit,IAM,,Leslie D. Curtis,32 Old Town North,Attorney General,3,0,3
Summit,IAM,,Leslie D. Curtis,33 Sidewinder,Attorney General,5,2,3
Summit,IAM,,Leslie D. Curtis,34 Bitner,Attorney General,7,1,6
Summit,IAM,,Leslie D. Curtis,35 Park Meadows North,Attorney General,8,3,5
Summit,IAM,,Leslie D. Curtis,36 Ranch Road South,Attorney General,3,0,3
Summit,IAM,,Leslie D. Curtis,37 Jeremy East,Attorney General,3,0,3
Summit,IAM,,Leslie D. Curtis,38 Highland Estates East,Attorney General,14,1,13
Summit,IAM,,Leslie D. Curtis,39 Pinebrook North,Attorney General,4,2,2
Summit,IAM,,Leslie D. Curtis,40 Moose Hollow,Attorney General,6,0,6
Summit,IAM,,Leslie D. Curtis,41 Upper Pinebrook,Attorney General,4,0,4
Summit,IAM,,Leslie D. Curtis,42 Snyders Mill,Attorney General,4,0,4
Summit,IAM,,Leslie D. Curtis,43 Kimball Canyon,Attorney General,2,0,2
Summit,IAM,,Leslie D. Curtis,44 Silver Creek Lower,Attorney General,4,0,4
Summit,IAM,,Leslie D. Curtis,45 Promontory Ridge,Attorney General,0,0,0
Summit,DEM,26,Wayne Stevens,1 Deer Valley North,State Senate,73,17,56
Summit,DEM,26,Wayne Stevens,2 Old Town South,State Senate,77,17,60
